Source,Target,Weight
3702,2663,.20273991
13468,6830,.37637472
13468,6506,.24123614
2249,9548,.062107861
12750,5060,.1
12750,11259,.1
19965,8675,.13307886
13097,6104,.44056401
13156,5862,.26896772
20257,3235,.43524799
20257,1789,.16659603
11107,4371,.1
14011,4371,.1
4878,1789,.1
7743,4856,.18235606
11440,5135,.081540428
7815,8290,.17172249
1797,8626,.11904762
1527,9653,.057474185
2073,11038,.13735899
3400,7620,.08424928
4052,11038,.1668251
4614,14228,.12041491
5757,9653,.10653982
6896,7620,.1
8049,7017,.47590086
8521,9653,.2790522
8627,7017,.27927786
9022,9653,.32773596
9437,7017,1
9505,7017,.11111111
10673,9653,.20013787
11010,7017,.12456747
12039,7620,.16001433
12044,7017,.10509486
13130,9653,.11732647
14251,7276,.1
20064,1678,.063508593
21493,4844,.089970507
21963,8368,.19888991
22999,6403,.12999283
6047,5134,.15384616
13551,4371,.58051151
2128,11559,.39142555
7276,2593,.1368733
1544,15257,.034171503
2073,7475,.34454912
2677,15150,.91890085
2697,9652,.1
4166,1537,.21730579
6855,7475,.067164175
7159,2991,.43591726
7276,7008,.15776843
7934,10482,.1
8324,15257,.1354904
8521,2991,.42896253
8708,9652,.1
8708,10480,.1
8708,15150,.1
8838,2991,.10051415
8838,10482,.17623678
9406,7475,.062349394
9406,10482,.14030865
9802,9652,.87756926
9859,4503,.52125549
10148,15257,.35007849
12040,2991,.16260673
13130,15257,.12732738
14114,4503,.1
14251,15257,.1
14344,15150,.1
14608,10482,.28661501
15060,15257,.18202075
15284,4503,1
15291,4503,.10033444
15291,10482,.32991803
21791,4503,.2707817
22323,15257,.17046581
23976,10482,.10013532
15204,2189,.12891985
10938,1365,1
15291,10165,.21994536
7912,10490,.18438435
8627,1048,.21271594
13763,13277,.48005873
22255,9810,.050004262
22323,1048,.10009911
4166,7904,.11754386
2697,8001,.1
14228,2547,.21630727
12508,5047,.1
1143,9653,.1
2304,2286,.15700892
9258,9653,.13563374
10306,2437,.10578199
11644,9653,.10695697
11925,7017,.1
14908,9653,.1293008
15759,9653,.0041699321
1143,2991,.1
1143,10482,.63003373
2270,2991,.14571409
4367,10482,.081943557
4367,15257,.099998161
5187,10482,.15046133
9258,15257,.14000046
10306,2991,.094488196
10306,4503,.16042455
10306,7475,.074638881
10306,10482,.061401039
10306,15257,.24105832
11644,10482,.28838646
11925,2991,.1
11925,10482,.1
11925,15257,.39442441
14458,10482,.053584576
14908,2991,.16483024
15759,4503,.1
15759,10482,.0056253411
11644,2189,.070318021
3600,1365,.48038208
3949,7475,.14000089
13174,15257,.42020854
23129,7475,.12853421
9623,7276,.10943031
21237,9653,.10747257
9623,15257,.080012053
9835,10482,.012080262
21237,7475,.1
12256,3955,.1
8095,10970,.029564098
8095,1755,.046705693
8095,6537,.061321359
5936,5135,.13150634
8947,6307,.092885531
5936,8248,.14438687
13471,8626,.1
13471,13566,1
7567,5073,.18108271
12595,8972,.12969284
12595,3813,.14947855
11409,9177,.18095239
8451,2189,.12981123
5978,12567,.19101277
23195,7475,.044157434
2497,4961,.14249314
14337,5135,.11238907
2340,1848,.13968854
2340,7475,.10577035
21439,4839,.1
21439,5073,.1
21439,7155,.1
8028,7366,.099998362
13233,5073,.1
13233,6066,.077638738
11519,6502,.1
11519,7154,.10399989
13798,3813,.1
4050,7154,.1
12614,5208,.053814687
13318,10190,.072599515
23950,10247,.1
13324,16603,.26875192
4078,9359,.054537222
13930,6502,.1
12282,2663,1
3245,6375,.13020654
6573,4839,.1
3657,1193,.00063127413
6029,2991,.1
6029,15257,.15587886
1462,8479,.10999744
1498,8479,.1
4809,11535,.072944649
8336,11259,.1
11791,6502,.1
11791,6834,.1
11791,9359,.1
24755,7154,.1
14932,8479,.13545375
15273,8479,.089045048
20789,9359,.15015015
24394,7154,.1
3642,11465,.1
3642,6066,.1
15275,14550,.10833663
14550,6307,.10781816
3622,11259,.11747743
12547,13085,.038595408
1235,2086,.1989207
14426,4839,.1
14426,5073,.20697445
24399,11259,.1
24399,9155,.1
14520,7889,.043459356
14520,7475,.087998308
10764,6307,.10904421
12325,11259,.33999902
13495,11259,.1273137
11486,3022,.1
11486,4839,.1
11486,5073,.1751364
2788,4768,.079998083
4993,6307,.099999249
6768,6928,.10926404
8193,6307,.1
8219,6307,.11624113
8551,6307,.1
19402,6307,.1
22324,6928,1
23198,6928,.1
23577,6307,.061465904
4993,11259,.42540464
6468,3813,.099809676
7018,11259,.097121596
12231,11259,.12999493
23062,3813,.1
23062,11259,.17994142
23577,11259,.28108087
8551,12631,.1
21345,14908,1
5456,6307,.1
7617,6307,.13455187
9382,6307,.10538572
5456,11259,.1
4547,6307,.1344194
6376,6307,.24844661
12867,6307,.10999312
21950,6307,.10453416
2113,11259,.19440344
9290,11259,.13609493
14936,11259,.2366998
18701,3813,.1
18701,11259,.1
9402,6307,.14481549
7644,11259,.060001973
9402,11259,.11999968
13435,3813,.1
13435,11259,.1
1278,11259,.11273545
7889,11259,.12001277
7001,5680,.11005222
8386,9761,.27393308
8386,4768,.1
4071,6307,.17000487
