Source,Target,Weight
160635,8972,.10395011
111868,5680,.43766132
30443,11259,.13352059
111868,11259,.12504481
64275,11259,.29875079
3801,65092,.10385678
19965,11456,.099049009
3107,65248,.29524127
61419,61718,.31391928
5560,7471,.089890689
7881,15532,.20231874
126046,65350,.28548369
14793,1440,.10144211
14793,2783,.027652431
14793,10447,.13958682
122915,10447,.14980616
126046,1225,.42821786
126046,5135,.34107065
141400,1440,.10328527
160838,5135,.29725528
166363,10447,.11022791
166363,11188,.13956688
180635,135990,.10999982
14793,10860,.1
141400,1995,.108808
166363,23465,.11347923
162283,1440,.1
162283,2783,.1
162283,5135,.082111016
162283,156416,.1
7938,11259,.056688406
2073,7620,.19936709
2204,11923,.1
3469,7017,.32678056
7309,8549,.10292327
7422,11923,.1
8341,27786,.18113457
8387,157074,.089714929
8440,157074,.055607464
8838,8549,.54173303
10877,7620,.011970975
10877,8549,.030857963
19433,29173,.11999296
22053,8549,.24000411
22962,8549,.21901309
22962,11781,.12725779
22962,28256,.15040773
29173,8549,.1
63607,8549,.11700028
63607,11923,.060999211
65220,157074,.11836503
106418,8549,.1
106418,142382,.1
106519,118795,1
139225,8549,.52255607
139225,11923,.67998946
140905,8549,.12
142339,157074,.3090319
142382,8549,.11999931
142945,8549,.050000239
145109,13431,.34119511
145729,8549,.22275746
149268,8549,.42345023
151632,8549,.1
151632,11923,.1
160341,8549,.15745462
162122,8549,.11792061
162221,146037,.2380048
163921,8549,.16136192
164109,8549,.1
166436,8549,.019716306
174656,7017,.1209749
174656,8549,.21331181
175085,8549,.11999943
175510,8549,.21119407
176070,8549,.2434475
178319,7017,.21429333
178319,8549,.13851219
178798,8549,.12100527
179831,11923,.82111561
183104,8549,1
145729,141760,.11011112
175510,141760,.11102112
2073,15247,.1638785
5475,2991,.1
8065,10156,.23143351
14934,4503,.11262415
64535,2991,.11999784
66228,178672,.22718571
142339,10156,.1
142540,133870,.11604888
155393,15247,.13480555
160341,2991,.1517491
162739,10156,.12998535
175157,2410,.008668921
175157,4503,.024740024
178319,2991,.065565743
282189,2991,.57000339
146137,12383,.1
8341,25180,.10000274
164109,24810,.1
154357,145270,.1
63742,176659,.09357363
64535,25627,.2420114
148770,176659,.20348294
176862,18705,.21001153
10877,8151,.085558757
10877,8873,.079450451
63607,6310,.11299913
63607,8151,.11899991
146037,8151,.19522156
148770,8151,.11570244
154357,8151,.1
162459,8151,.097000234
175157,8151,.13090278
178835,8151,.89981616
179739,8151,.078503214
3594,4093,.42010498
8512,8272,.039890338
25495,10860,1
25495,10860,.26214689
142339,4093,.1
146037,8113,.078546621
162459,7977,.10000027
164109,4093,.1
175006,3439,.099998556
1797,63605,.25687024
6311,116029,.14914069
8065,20909,.69537997
142339,20909,.030971037
149268,116029,.29073867
166436,20909,.22628945
142540,140756,.21642293
5581,7017,.059999704
11644,11923,.020000001
61409,11923,.071401991
144809,28256,.14733393
144809,118795,.12644322
144809,164665,.062001836
164075,27786,.071984336
164075,28256,.062480927
176248,1380,.016247142
65973,3949,.069888055
8357,9465,.090000264
5187,2410,.14915776
5187,2991,.1
5187,4503,.1
5187,24625,.1
5187,61616,.1
5581,2410,.10516961
5581,4503,.070000075
8357,4503,.18656686
14908,4503,.12567563
14908,24625,.1016502
28338,2410,.10721842
28338,2991,.12756799
164607,2991,.19013681
273726,12384,.064999998
12708,1678,.1
12708,16478,.1
12708,24625,.1
175834,2410,.085580029
175834,4503,.12916736
9835,11923,.061336871
9835,16478,.089306645
25509,1678,.11000019
163929,16478,.057000313
163929,27786,.095631495
163929,164665,.039533354
176238,1678,.10000081
176238,65006,.13000026
8079,2410,.1399999
9835,287882,.073999323
25509,2410,.11000019
25509,2991,.11000019
28456,2410,.15000001
28456,4503,.25714242
176238,2991,.13431667
12256,63919,.16043703
12256,6066,.45923921
28712,14256,.4551928
143710,5047,.20000036
23195,2410,.038801972
23195,2991,.022551494
23195,10156,.036136106
2497,2136,.083680511
2497,9899,.096662268
4115,2136,.1844873
4115,9899,.1904418
4115,148998,.030953916
4115,174130,.069706827
4115,174490,.027019029
2497,12206,.38106769
4115,3226,.10834584
4115,12206,.030865159
4115,12484,.022634786
4115,126136,.048885122
4115,176404,.081752941
5218,4798,.1
160343,8539,.1400003
4115,7590,.02276659
180646,7977,.10347344
23195,116029,.0724608
2340,14912,.1
179210,8264,.090015575
127383,5020,.12520827
160475,12206,.84034431
163877,4093,.17666203
29609,63927,.20273989
148276,134464,.015517733
3362,11259,.13018653
29942,11259,.16085553
5709,11259,.11999995
10793,11259,.13100448
2282,11259,.1
2390,11259,.13341571
9411,11259,.077041231
2282,6502,.1
12785,11259,.11655432
13864,63927,.17711273
62655,11259,.10606609
180833,11259,.19532157
13864,6502,.066093341
2663,11259,.15348367
5568,11259,.10461755
6573,11259,.16231656
64102,11259,.10301127
165360,11259,.058151729
