Source,Target,Weight
65158,18636,.74943441
13155,5680,.24072102
111868,5680,.38707292
13155,11259,.12174062
64275,11259,.16162875
3801,65092,.14853141
148352,31195,.10470749
114426,31203,.052003801
3107,15711,.19255842
3107,29954,.090000004
3107,29968,.10936566
146132,6268,.057892442
61419,9155,.1300759
14793,1440,.14021102
14793,9850,.12554002
122915,10447,.1
11440,7977,.19657756
141400,3897,.12000025
141400,4093,.11855994
146211,1225,.040001534
146211,65092,.21000166
2073,7620,.42188707
2204,154354,.077036217
2437,8549,.13801175
8341,136009,.18652564
8755,154354,.31787109
8838,8549,.4282178
13158,9653,.15000077
14359,11923,.07703016
14647,154354,.36242774
14923,154354,.2099922
15060,25495,.074953996
19311,8627,.20686789
20653,25495,.12000015
22668,8549,.75610852
23561,14934,.14344487
29173,8549,.24281192
63607,8549,.14900067
63607,11923,.12599999
63607,25495,.14293626
140800,25495,.23000088
148770,63742,.36999971
154354,8549,.17103194
6311,30600,.18869419
154354,141760,.031346366
2437,114303,.10859697
3594,25422,.050008897
8065,10156,.13141313
8387,114303,.1700089
8521,10482,.1
8627,2991,.0097668655
8755,15247,.21111482
8755,25422,.35999212
8838,10621,.4786717
12044,114303,.13999517
12046,114303,.11999962
13551,2991,.34910029
20653,114303,.13999955
22668,10621,.77545398
23146,10156,.12999636
28564,114303,.10000132
29098,10156,.12
29173,114303,.30888987
60798,114303,.14000039
140800,114303,.11358187
142540,133870,.073627248
148281,114303,.14000051
154354,148210,.094039105
13158,25180,.13588783
1678,30865,.27181396
2128,8099,.1558284
6403,30865,.16334115
120093,1279,.15203699
120093,1440,.10813345
7422,18705,.14395267
63607,4242,.072646983
19433,8151,.17001981
63607,6310,.097999021
157074,6310,.25847903
3594,4093,.2888748
8512,4093,.055997524
10296,4093,.14289986
11923,4093,.23224063
23561,3439,.090586767
23976,4093,.1100014
27786,4093,.096645646
29169,4093,.170001
29169,8264,.13999914
62756,4093,.32770619
66631,11056,.18998054
121934,4093,.31001243
140905,4093,.26999724
148281,4093,.090003036
1797,63605,.1
6311,116029,.10818894
7422,116029,.19191067
8512,20909,.055974878
12044,116029,.14999999
14923,116029,.13521478
23146,20909,.3000026
8655,6127,.1479034
11558,6127,.11634969
20653,64063,.10999951
28564,6127,.14942689
29169,6127,.170001
62473,6127,.11055068
63607,1121,.11667272
14815,1240,1
142540,140756,.13957047
116387,28924,1
22668,29265,.18407927
1308,11923,.1
2270,8549,.13979985
9258,11923,.14259627
10306,8655,.10325546
10306,136009,.38001129
11644,8068,.099999495
64876,9653,.10799986
65973,23130,.1
2270,2991,.12961283
2270,4503,.14904718
5187,4503,.082229197
5581,4503,.11053392
28338,2410,.13401625
64876,4503,.11499975
1308,7366,1
9258,4242,.13000076
102983,9653,.082999453
23810,1976,.1517693
12708,9589,.37508065
23810,3949,.1
23810,9465,.041868243
22732,20909,.096153848
9835,136009,.0723463
22398,15084,.072831333
65006,109043,.13429563
5439,10482,.1
9835,114303,.085861549
28456,14087,.1
12256,63919,.1128658
65006,6127,.113305
8095,123714,.045043085
28712,13780,.13799618
28712,14256,.1678264
24954,9673,.026421811
29317,25180,.1602948
112778,10867,.010072997
112778,25921,.010989314
153550,13440,.10277411
25160,8272,.077222794
5559,1594,.060927976
5559,6502,.045478702
