Source,Target,Weight
187285,241216,.13088235
29962,147708,.082244329
30443,11259,.10327639
64275,11259,.1
3801,65092,.11379734
19965,11456,.086904705
14590,170841,.075306363
3107,65248,.35776189
15129,107154,1
3153,7471,.21312952
5560,7471,.07051944
26333,19172,.1
108893,11925,.12805635
14793,23978,.1
14793,65248,.1
30397,65248,.16283207
108893,187169,.27586818
11440,1440,.066205069
14793,9850,.1
14793,10447,.1
122915,10447,.1
166363,10447,.1
170639,9850,.24807768
174312,4029,.10099638
174312,8455,.20731139
174312,135990,.11337114
184569,1440,.34564069
184569,8290,.28036618
19129,5918,.1
11440,156818,.13502184
23537,4093,.1
32372,4093,.085177049
122915,4093,.1
122915,23465,.1
166363,4093,.1
166363,23465,.1
170639,12612,.10956234
176733,4029,.10097329
176733,8455,.26850742
7938,11259,.38077649
6311,1678,.1798692
8512,165466,.17715491
10877,6788,.027748195
10877,154357,.066495813
10877,155393,.0240441
10938,22053,.1695223
20513,18465,.1660348
21732,25874,.1
22053,8549,.48446929
23002,16478,.15000136
24131,6788,.0082522221
24131,165466,.021921426
24131,176899,.0082522221
26543,8512,.71002883
26543,165466,.0099927979
27677,165466,.17861471
66029,170620,.19048947
106418,150699,.1
142540,16478,.018158251
163596,165466,.1
163921,27786,.13881122
174656,7017,.1
178684,7017,.054872919
178684,8549,.1079092
178684,11923,.019999979
179831,11923,.62516725
184442,3469,.1
186019,3469,.30434784
186019,184442,.68428093
186061,7912,.38919342
186061,8512,.26010102
24131,25935,.13613209
278151,13971,.066245995
1678,2410,.12281641
1678,12384,.086066708
3469,2410,.10514069
3469,170841,.12514104
7620,170841,.16082968
7912,2410,.1
8440,170841,.1
10877,15247,.055748779
11781,12384,.1
11923,2410,.10028262
13431,10466,.35526091
13431,170841,.309129
14359,4503,.1
18109,15247,.17740718
19171,165652,.21000041
19171,170841,.058068465
20168,170841,.079407573
20513,186989,.10000026
20653,186989,.17458051
21431,10466,.1
21431,170841,.1
22053,4503,.051002104
23433,4503,.17098099
24131,15247,.020666886
24131,170841,.011554969
27786,2410,.12474123
27786,12384,.099999994
28564,170841,.61838239
29138,12384,.13998134
142540,2410,.017833753
142540,4503,.02652869
142540,12384,.026227644
142540,133870,.048342045
142540,170841,.020093162
151632,170841,.1
164109,170841,.11999997
165556,15247,.16724841
165556,170841,.13701202
166458,2991,.078850172
170781,2991,.096673526
174656,170841,.1
177884,165652,.026225796
178684,4503,.078574084
179782,5667,.13484497
179782,165652,.38521361
184006,2991,.24342121
184442,4503,.1
187128,10466,.2301244
187128,165652,.17
194755,12384,.14000034
194755,170841,.172399
282189,2991,.19712695
282189,4503,.2198734
10877,147208,.081821524
14359,147208,.14
150699,147208,.2158536
154357,186206,.13
13431,14912,.1
10877,28919,.086133361
22053,165649,.053393122
24131,19104,.02333604
25874,14087,.10000087
150699,141720,.20999984
