Source,Target,Weight
65158,18636,.5999704
13155,5680,.41278517
111868,5680,.50386411
111868,6829,.13948256
30443,11259,.12874892
64275,11259,.24663755
3801,65092,.12978932
19965,11456,.10826426
148352,163023,.1
12466,7585,.28998506
3107,15711,.1400024
3107,24321,.1082874
3107,29954,.13042958
3107,29968,.0058533731
13516,25180,1
146132,6268,.1
61419,61718,.60005826
5560,7471,.11199971
7881,12673,.24937657
11440,151829,.2303174
14793,1440,.10225926
14793,2783,.098249488
14793,9850,.11125916
122915,10447,.10554799
123714,1440,.31005859
126046,5135,.35000682
126046,6397,.099995442
141400,1440,.10784414
160838,5135,.27000061
141400,3897,.08589755
2073,7620,.24948126
2204,157074,.1
6464,14934,.33998266
6464,157074,.46977329
8755,154354,.270004
8838,8549,.52924722
14114,8549,.12000124
14359,8549,.10672498
14359,11923,.040778067
15060,25495,.050002035
22008,8549,.90021461
22668,8549,.65239275
23561,29173,.087733552
26069,1678,.0080246916
29173,8549,.10737142
63607,8549,.13080952
63607,11923,.10804801
139225,8549,.94657671
142339,157074,.33456969
142382,8549,.27424419
147483,13431,.11005692
148770,63742,.18527751
149268,8549,.44000024
151632,11923,.064917013
154354,8549,.048061088
160341,8549,.18395193
164109,20548,
166436,8549,.099979363
174656,7017,.1
174656,8549,.1
6311,30600,.15249634
2073,15247,.13320547
6403,2410,.14342305
8065,10156,.14420451
8755,15247,.17000252
20653,10156,.1281054
28564,2410,.11999978
65827,10156,.12977985
121934,10156,.10003868
142382,2410,.13999921
142382,2991,.099999122
142540,133870,.021842906
148281,2991,.20895053
154354,148210,.064033538
163921,2991,.028627977
146137,12383,.1
13431,25180,.030913979
1678,30865,.13674994
6403,30865,.12903918
28564,30865,.11482975
120093,1279,.1142877
120093,1440,.023487963
154357,145270,.1
160341,30865,.17999917
164665,1279,.14000176
164665,1440,.13729443
175006,8539,.33998823
8755,18705,.270004
63607,4242,.0079999669
64535,25627,.28999943
176862,18705,.24000001
19433,8151,.11932587
63607,6310,.07856708
64535,9904,.0099992249
154357,8151,.1
157074,6310,.1367885
162459,8151,.38250011
178835,8151,.94999105
2128,7733,.11350738
107755,7590,.25136611
165699,1224,.17930955
3594,4093,.43180066
8512,4093,.10299872
8512,8272,.048260469
11558,8272,.2179867
11923,4093,.17748618
25495,10860,.2
27786,4093,.14247994
62756,4093,.17225786
121934,4093,.32998064
140800,4093,.14000028
142339,4093,.1
162459,7977,.10199755
1797,63605,.27296153
62446,15521,.44406524
6311,116029,.30765343
8627,116029,1
140757,30023,.18367346
142339,20909,.099715531
149268,116029,.37819403
20653,64063,.06442257
63607,1121,.045000322
62446,6307,.11914894
14815,1240,.2846154
142540,140756,.088710681
1308,11923,.1
2270,8549,.12852022
9258,11923,.062055286
10306,16478,.4187862
164075,1678,.069975264
164075,27786,.0856172
164075,28256,.054381605
164607,7912,.070512109
164607,161993,.11999951
176248,1380,.12414198
65973,3949,.039039414
2270,4503,.12146185
5187,2410,.11530815
5187,4503,.12808318
5187,24625,.11897279
5581,2410,.11100052
5581,4503,.099601343
8357,4503,.1400006
28338,2410,.11055152
28338,2991,.1210001
164607,2991,.31000283
14908,25180,.14
5187,14087,.054695278
9258,4242,.086878285
164075,8873,.080028728
1308,63605,.1
12708,4844,.015144322
12708,6403,.012515935
12708,8655,.12909955
12708,27199,.013157528
22732,14934,.1121823
12708,9589,.209409
23810,3949,.0059986804
23810,2410,.030830158
3806,25180,.09999612
28286,25180,.036652952
9835,1678,.048333272
9835,8387,.03259569
65006,109043,.049998865
28456,2410,.15000001
28456,4503,.10164697
12256,63919,.090108812
12256,6066,.21276599
8095,123714,.075792111
28712,14256,.43501759
64549,15247,.10830484
143710,4503,.067117617
25160,8272,.022480782
5559,6502,.024250852
143710,5047,.31999919
2497,123714,.19185266
23195,2991,.075911656
63495,4503,.20290488
2497,2136,.10000047
4115,1318,.026612436
4115,2136,.15055479
4115,116245,.090633906
2497,2146,.10200036
4115,148998,.050741747
2497,12206,.21798725
4115,3226,.11300015
4115,12206,.037988301
4115,12484,.036313243
4115,126136,.034046061
5218,4798,.1
160343,8539,.1781635
165247,4503,.082828633
65881,5073,1
65881,17828,1
115406,5073,.25800103
160475,12206,.86022687
163877,4798,.12000053
29609,63927,.20188361
3362,11259,.13955399
29942,11259,.15081879
10793,11259,.12496272
2390,11259,.13799533
9411,11259,.088783428
12785,11259,.10100004
13864,63927,.082245089
62655,11259,.080499262
163579,11259,.20943134
13864,6502,.055362079
163579,8815,.14008322
29205,6066,1
14382,29028,.70971072
151161,1045,.08243189
151161,3851,.050003652
25362,10247,.12640025
2663,11259,.13040778
6573,11259,.12486436
64102,11259,.19712001
155734,11259,.12996083
165360,11259,.084492542
25362,29028,.12999777
155734,29028,.050045289
155734,1240,.11398032
155734,6502,.2799238
155734,9359,.16001694
9777,11259,.12479439
62169,11259,.11231789
158743,11259,.090001106
62169,29028,.12314294
11748,11446,.089999884
106189,25969,.029000312
5071,11259,.13597779
6375,11259,.14759375
24283,11259,.23911315
106189,11259,.42668307
