Source,Target,Weight
13155,5680,.13933237
111868,5680,.12921664
13155,11259,.11740042
111025,8290,1
19965,8675,.0024572441
3107,15711,.18999998
3107,29968,.18999998
19565,31807,
14151,2086,.75
19129,10621,.1
11440,8199,.26000908
14793,1440,.10138772
14793,9850,.10560882
15274,1225,.024284411
22150,5135,.40502197
30730,5135,.12059604
122915,10447,.1
122915,11188,.1
141400,4093,.12508695
146211,1225,.15000208
146211,65092,.17999999
8627,11038,.066002265
9022,9653,.15596332
12510,22255,1
13158,9653,.29999888
19311,8627,.37000844
22668,11038,.61999995
24879,60826,.1
25240,25495,.3076193
26069,15084,.1
31101,9653,1
64168,25495,.14528948
2437,114303,.10380691
2507,15257,.099810787
7137,15257,.13800624
8387,10482,.11438451
8521,10482,.10502693
8627,2991,.004579308
8627,10621,.0062395106
8627,114303,.0012778995
8755,25422,.15331472
8838,10621,.45683727
9505,10482,.14141415
9505,114303,.48484847
12044,114303,.20118138
12045,10482,.11994841
13551,2991,.71702945
14923,10621,.14001006
22668,10621,.68432593
23146,15257,.28000697
25240,10482,.34014872
25351,114303,.12001241
25628,114303,.20361091
25956,15257,.10047376
29098,114303,.1000119
29173,114303,.15951571
30213,2991,.088813774
30400,1848,.074762858
62756,15257,.14738871
140800,114303,.25999457
142540,133870,.069671229
62626,5073,.55983609
14359,18705,.0099992864
20064,29044,.23999824
27786,29044,.12801567
19311,3206,.38999814
20064,3206,.18000969
208467,3206,.35999438
12821,1837,.1
3594,4093,.22634576
8627,8272,.11433602
8755,4093,.21065655
9505,4093,.18181819
15060,8264,.1
24879,4093,.1
25956,4093,.12385119
28229,8264,.1000085
29169,8264,.14000027
61413,4093,.31
62756,4093,.34310609
64940,4093,.10720038
208467,4093,.18999642
7422,116029,.36494145
12044,116029,.13999611
26069,116029,.1
8324,6127,.22000185
8341,6127,.10997556
8655,6127,.13560137
14359,64063,.020000124
29169,6127,.16999911
31101,6127,1
61084,64861,.10540622
63607,1121,.2250028
64168,6127,.34362018
14114,29265,.22000518
22668,29265,.11853108
61084,29265,.11352679
1860,100165,.13437939
5581,9653,.099867068
10306,7017,.090664223
13276,11558,.1
29347,11923,.09999679
61409,9653,.15609939
64876,9653,.11977743
65764,2982,.29745099
2270,2991,.1251031
2270,4503,.12235359
8357,2991,.080435939
10306,10482,.0067266393
10306,15257,.010103467
64876,4503,.13200031
64876,10482,.015000626
65764,10867,.12000646
1308,7366,.12997712
64876,14087,.07600037
65764,9810,.080004305
10306,6127,.059918415
102983,9653,.11915886
62012,9589,.0069295955
65221,9589,.30863848
12708,9465,.71979111
22398,15084,.10927525
65006,9653,.10999579
65006,13158,.12999988
25509,2991,.26999778
65006,2991,.11000283
22398,4351,.1
14182,29878,.087764956
14182,8762,.31116495
65910,15257,.089999765
64310,65513,.13734736
24954,9673,.012258808
112778,10970,.0090257525
25160,6081,.046765037
143710,5047,.21000075
63495,114303,.17999916
2497,13683,1
2497,2146,1
2497,2146,.095120177
4115,4961,.061910253
14337,8818,.0057785241
63495,4093,.10999978
65881,5073,1
65881,17828,1
65273,2285,.07509318
17209,3502,.031177955
24749,7585,.1
24749,3022,.1
24749,4839,.011915844
17209,2146,.095005184
17209,143972,.14477412
63010,1485,.4822759
24749,63282,.1
138904,66704,.11000717
66446,65092,.045128863
11713,11259,.20330752
12409,11259,.17900011
12785,3708,.1
12785,13092,.1
125154,1240,.13000031
14382,29028,.62585032
11424,12409,.22942074
66643,2663,.075071216
5111,61581,.1079768
25362,10247,.10000528
10899,6502,.34045297
64102,9359,.10036867
29434,9359,.12528868
66016,2562,.099547885
11748,5134,.16596118
11748,7180,.10737852
28701,11259,.070458636
106189,11259,.53017241
4809,11535,.11337451
13830,6502,.14397377
9113,11259,.11662232
31427,11259,1
5597,11259,.13696584
8336,11259,1
8336,11259,.14255893
29594,11259,.11998518
110330,4016,.077757128
110330,31587,.049012855
8336,8815,.048967902
8336,11535,1
8336,11535,.0531951
62037,25434,.27110761
10091,8852,.11467951
65570,2562,.26687813
24991,8530,.014206159
28877,4503,.18600206
25828,10247,.20296732
65570,10247,.19691952
64760,10190,.1
31474,25283,.10098349
29342,29028,.49000058
29342,9359,.064171232
64760,9359,.1
31474,13506,.19353706
26023,13099,.16799925
62836,6266,.19756053
62836,8762,.21000005
13417,2817,.1
25762,5073,.077688903
30169,10301,.27583349
3622,11259,.1692096
9963,11259,.09838178
62898,11259,.1199986
65141,4990,.16809544
25227,4993,.10000119
5442,114303,.0048156907
30883,6307,.15256663
30883,11259,.12922062
63925,3813,.13518886
30883,4990,.16782653
27923,14007,.1
30884,3964,.078051768
30884,13380,.061992064
30884,62915,.094004378
9293,11259,.1905947
11319,11259,.19472775
30884,11259,.14399758
30884,29264,.082994893
27923,7922,.1
4001,5680,.10526934
66360,61060,.47861665
66360,63447,.13667336
66360,10215,.10447919
5505,3964,.18000014
6768,3964,.14525397
6768,7127,.16000012
4993,11259,.81180722
6214,3813,.094691887
6214,11259,.12530687
8219,11259,.10272855
19402,11259,.15808661
23062,11259,.32035413
23577,11259,.39979708
29125,11259,.14203115
109082,3813,.13999832
109082,11259,.11400177
111530,11259,.24024275
29125,10639,.067094117
8219,12631,.10075001
64891,13990,.011807041
9382,3964,.14166892
9382,6307,.18292902
9382,7127,.15999919
25987,25283,.1047444
28303,6307,.09029384
62225,3964,.37999284
62225,13380,.10999514
5456,11259,.028217852
11060,11259,.11271305
28303,3813,.093473852
31733,11259,.60565209
65708,11259,.25040802
