Source,Target,Weight
13468,6830,.029872295
13468,6506,.0090610785
13155,5680,.11009616
12750,11259,.086634263
19965,8675,.071670353
13097,6104,.43457243
13156,5862,.19395621
11993,6266,.1
9728,7815,.99999994
14465,4371,.1
4878,1789,1
11440,5135,.098231956
30730,5135,.19999978
7815,8290,.14147428
1544,7017,.11416025
4052,11038,.16275954
5757,7017,.11707909
5757,9653,.11000052
6896,7620,.1
8049,7017,.4471004
8341,14878,.1701735
8521,9653,.26585704
8627,7017,.34432685
9022,9653,.1995119
9406,9653,.19752805
9437,7017,1
9505,7017,.12745099
12039,7620,.10074898
12044,7017,.093996137
12510,14878,.61345851
13130,9653,.12164743
14251,7276,.1
14556,7017,.95081967
15284,7017,.10004427
20064,1678,.12635736
2128,11559,.081135944
20553,9772,.13007456
1678,15257,.16962801
2257,10482,.11157025
4166,1537,.25104603
7159,2991,.35903227
7159,10482,.19128673
7276,7008,.22261032
7678,10621,.37682357
7934,10482,.1
8324,15257,.094694749
8521,2991,.47004086
8627,2991,.19211181
8838,2991,.076703325
8838,10482,.12026853
9022,2991,.45510027
9406,10482,.12721418
9505,4503,.046296295
9505,10482,.11574074
9859,4503,.12144464
10148,15257,.17521584
13130,15257,.13473313
14251,15257,.1
15060,15257,.069353841
15291,10482,.34763023
20553,1537,.13256007
21791,4503,.32362166
22255,15257,.1809893
22323,15257,.15537085
25956,15257,.82240754
26013,10482,.094731718
10938,1365,.18412118
10148,10165,.092619397
22255,9810,.044280171
4844,8151,.29333857
2697,8001,1
14815,1240,.27989623
14228,2547,.73595506
9859,19798,.10141988
2304,7017,.17973211
9258,9653,.12000132
11644,9653,.072260767
11925,11038,.1
14458,7017,.10005878
15759,9653,.027909879
16932,9653,.14000189
20134,7017,.095287636
22020,9653,.15431136
28338,9653,.24013132
2270,2991,.050848223
4367,10482,.06608355
10306,1848,.048671376
10306,10482,.084602669
11644,10482,.28273097
11925,2991,.1
15759,4503,.033700526
15759,10482,.013428043
22020,2991,.29236597
22020,10482,.17013356
28703,2991,.099998273
3600,1365,.37633261
13174,6403,.15681726
13174,7017,.19676745
13174,14878,.2052858
13174,15257,.33251384
9623,7276,.098564014
21237,9653,.1
21237,14878,.1
25509,7017,.050000001
9623,2991,.11547521
25509,4503,.13001791
25509,10482,.24955885
28621,2991,.26747915
12256,3955,.1
12256,7123,.083638467
12256,18467,.1
8095,10970,.003876542
8095,1755,.052887157
8095,6537,.097977489
5936,5135,.18875119
5936,8248,.016682554
29317,3955,.47263828
29317,7585,.090198398
29317,6008,.0029234004
12595,8972,.25674897
23195,7017,.1
5978,12567,.11398436
22838,2991,.29179591
23195,2991,.11240537
2497,4961,.10272861
4115,4961,.059272192
7635,8290,.19299637
2340,1848,.10026398
2340,10482,.11757082
8028,7366,.093024462
24749,7585,.1
24749,17110,.1
24749,6066,.1
9303,5071,.15618433
7696,23942,.1
11713,11259,.093931995
12614,5208,.15391956
12409,11259,.16870797
23950,9359,.1
13324,16603,.17983294
11424,12409,.25758091
3245,6375,.2265815
6573,4839,.1
6573,5073,.1
25362,10247,.14800803
3657,1193,.00047431304
10899,6502,.26193416
6029,2991,.1
29434,9359,.11003108
25026,3813,.089528538
25026,28648,.14650124
4809,11535,.13990316
8336,11259,.036745407
27926,11259,.25194806
24755,7154,.1
14932,8479,.14400046
15273,8479,.12609321
20054,21078,.16666666
25799,9548,.058005549
28844,7154,.1
24991,8530,.18258171
20789,9359,.10944808
29342,9359,.16329831
14994,11259,.12537879
24884,11259,.094595104
14550,6307,.14400065
3622,11259,.13917306
4635,11259,.15070362
9963,11259,.054972872
13231,11259,.15117957
1235,2086,.27404499
5377,4839,.1300007
9206,6307,.11
10764,6307,.091192022
27923,6928,.07488545
9293,11259,.14232893
30884,29264,.097994097
25399,7922,.1
27923,7922,.12211824
21281,12631,.070012502
11486,3022,1
11486,3022,.1
11486,4839,1
11486,4839,.1
11486,5073,1
11486,5073,.1809607
29087,3022,.10324588
29087,4839,.64804471
29087,5073,.077505127
2788,4768,.14837439
6768,6928,.0931179
8551,6307,.1
25431,6928,.1
4993,11259,.4837037
6214,11259,.19000316
6468,3813,.2
7018,11259,.092515007
12231,11259,.26597673
19402,11259,.11999794
23062,3813,.1
23062,11259,.026314275
23577,11259,.41046879
25431,11259,.038389191
29125,11259,.27359679
29125,10639,.31998855
8219,12631,.064335741
8551,12631,.1
5456,6307,.1
5456,11259,.1
7617,11259,.19525787
25951,3813,.025992688
25987,11259,.10152563
6376,6307,.14363699
12450,3964,.11505885
18579,6307,.1
21950,6307,.22899096
24032,6928,.14044659
29806,6928,.049996626
2113,11259,.19598833
9290,11259,.12525387
11626,3813,.10999417
11626,11259,.10000306
14936,11259,.30114517
18701,3813,.1
18701,11259,.1
21950,11259,.12431558
25914,3813,.17161281
27843,3813,.1
28450,11259,.051996205
24492,15346,.19490229
24492,7922,.1
9402,6307,.2133449
7644,11259,.1257145
9402,11259,.1
13435,3813,.1
13435,11259,.1
24542,11259,.14699169
3833,4768,.30900428
27957,6307,.1
28676,6307,.1
1278,11259,.16000029
27957,11259,.1
28676,11259,.10999998
29926,11259,.14999147
7001,5558,.10450234
7001,5680,.14049089
25295,11259,.13000135
29156,5680,.14028297
8386,9761,.30330905
8386,4768,.1
12379,5680,.1
8101,6307,.12986815
28936,11259,.077279754
28801,5564,.11543921
10186,2086,.065952115
9243,9818,.099997722
2508,6307,.17987888
4055,3022,.44834551
4055,4839,.24152867
