Source,Target,Weight
3702,6495,.25619486
3702,5055,.29525411
3702,2663,.34271315
8596,8479,.1
5416,7116,.1
4576,6502,.27873173
8160,8159,1
8160,8159,.08471211
4915,1788,.1
9998,1789,.1959976
5560,3235,.1
3153,1789,.9849214
5560,1789,.68068218
5784,1789,1
9728,1789,.54549402
1856,5135,.56219065
3104,1789,1
10174,1789,.41103557
6322,9653,.21234977
11440,5135,.10000034
1527,9653,.23682854
1732,9653,.1
2054,1788,.1
2164,8838,.10841122
2257,9653,.11016949
2422,7017,.14864865
2507,7017,.10010687
2880,9653,.1495875
2929,1788,.12392639
3196,1788,.49237031
4356,1788,.26254827
4496,9653,1
4618,6403,.19350874
5630,7620,.11264367
5740,11038,.27609107
6870,3732,.10029403
6870,11038,.04383884
7056,1788,.11996161
7381,9653,.31670824
7930,9653,.18856606
8011,9653,.1
8065,9177,.15510778
8521,9653,.22478671
8708,7620,.1
8709,7620,.20243216
9505,7017,.22108844
10146,9653,.12203648
10340,9653,.1
10673,9653,.24067171
11527,1788,.42379183
3719,6182,.16129032
10887,5381,.1
11417,4622,.1
2128,11559,.43249744
1275,2593,.11959489
1364,10621,.1202781
1544,1609,.1
2073,7475,.28825226
2437,4503,.3250038
3196,1609,.10681587
3826,1609,.26499456
4325,5790,1
4362,10621,.92081451
5078,1609,.37173083
5585,1848,.13146937
6047,4503,.076086961
6311,5790,.0960223
6695,5148,.14285713
6852,5148,.31559855
6870,4503,.038254343
7159,2991,.3900243
7309,5148,.055555552
7912,1609,.1
7912,10482,.1
7934,10482,.1
8011,2991,.1
8368,5382,.10544554
9406,7475,.27604377
9505,5790,.1
9859,4503,.35588539
10036,10621,.21805266
10143,4503,.18652408
10522,5790,.36480689
10887,9652,.1
13827,1609,1
10938,1365,.58785045
11170,5860,.1
11170,2577,.1
7887,7883,.10106383
1733,2927,.1
9873,10165,.46774441
1617,4240,.15643524
4114,4240,.20403558
4552,4240,.061016951
4844,4240,.30178034
4844,4242,.21692415
5740,10750,.176576
6938,1048,.29129112
8728,10503,.11630558
10664,4240,.13999213
2697,8001,.1
4618,1193,.23188476
1226,1301,.11601296
3930,9712,.13191377
1984,5176,.1
11170,6066,.0096478537
11170,5047,.1
1143,9653,.1
2304,5940,.12461059
4082,6403,.14840417
5406,8505,.25791213
8954,1678,.21999811
8955,1678,.22384024
11141,9653,.18598807
1143,2991,.1
1143,5148,.1
1860,4503,.24793629
4367,1609,.1
4367,10482,.1
5187,4503,.11787197
7901,2991,.091298759
8357,4503,.084957801
9258,1609,.17000125
3600,1365,.35783008
10397,9653,.22000231
1347,1609,.10457671
1347,2991,.067368418
1347,5790,.10798258
9835,1609,.093092769
9835,4503,.028456768
8095,1755,.06199415
8095,6537,.073311813
8947,6307,.11075627
5218,3980,.42773661
6209,1788,.1
6209,1609,.1
6270,3792,1
6331,5135,.24578327
8997,6502,.13156043
7493,11263,.13603003
4910,3708,.45584723
6481,1240,.10000085
11536,1240,.075274169
4078,9359,.12094308
1032,5055,.14000586
3245,6375,.19044542
6573,5073,.1
6573,6307,.1
7827,11535,.1
6594,6502,.053460274
3311,3485,.074434631
3311,4165,.042633045
5868,6307,.1
5868,11259,.1
3311,6066,.015270124
3311,11484,.040327791
5563,10301,.1
5563,10983,.1
9140,2272,.16076389
2196,6307,.18417284
3622,6307,.14832646
4635,6307,.14238921
3176,3022,1
3176,4839,1
3176,5073,1
1120,6307,.089400128
9206,6307,.13671714
10021,6307,.18961434
10021,7544,.059997648
8857,6307,.12070306
7087,4839,.30973157
7087,5073,.11425831
2788,4768,.14197294
4993,6307,.19538037
7400,6307,.1
7400,7544,1
8219,6307,.098215237
4993,11259,.13571917
6468,3813,.10000781
5456,6307,.12680514
7916,6307,.16288975
7916,7544,.20503235
8255,6307,.3600105
9382,6307,.3210997
6376,6307,.31910738
7595,6307,1
8323,11259,.10113667
9402,11259,.043298885
6184,5073,.17601813
3120,6307,.11663087
4447,6307,.16730982
8482,7544,.23952083
9327,4016,.050433449
8386,9761,.18162741
10518,4768,.40571669
12786,10983,.10400869
3100,6307,.1
3100,7544,.1
7568,7544,.25697365
8101,6307,.12764184
2508,6307,.1499912
4055,3022,.27522802
4055,4839,.50367504
4055,5073,.072652109
5699,4839,.097085327
5699,5073,.1590175
1496,4839,.10001149
