Source,Target,Weight
29962,147708,.05082231
30443,11259,.1
64275,11259,.1
3801,65092,.12197609
3107,65248,.53087425
14793,65248,.1
170639,9850,.17875801
174312,4029,.077094026
184569,1440,.13577531
32372,4093,.14029303
122915,23465,.10940122
8512,165466,.12499976
10877,6788,.018571509
10877,154357,.037281759
10877,155393,.0069905524
22053,8549,.36899865
24131,6788,.0089589125
24131,165466,.036144577
24131,176899,.0089589125
27677,165466,.11000025
1678,2410,.17039423
3469,15247,.1
7620,170841,.13082883
7912,2410,.26242325
8440,170841,.1
10877,15093,.070235193
10877,15247,.050168332
11781,12384,.063310325
11923,2410,.099464424
11923,12384,.10711553
13431,10466,.35091045
13431,170841,.28072804
14359,4503,.023392685
17228,170841,.18000019
18109,178672,.090198301
20513,186989,.24999951
21431,170841,.1
24131,15247,.0089589125
24131,170841,.0089589125
27786,15247,.099999994
142540,2410,.014240196
142540,133870,.069795519
142540,170841,.01956266
155393,170841,.10940343
164046,287882,.1
186276,170841,.1099997
247371,170841,.1
10877,141720,.015050737
150699,141720,.23000005
175006,141720,.15366282
10221,6310,.1
19433,9904,.075209841
8387,12892,.039979089
174169,12892,.1
142540,140756,.058727644
1380,121713,.1
9258,14590,.0099999998
5581,16478,.10380626
9258,8549,.02
21165,170750,.1
61409,1380,.25000021
61409,11923,.33800033
273726,8549,.11158819
2270,2410,.023333333
2270,24625,.15000001
9258,15319,.02
11925,12384,.38799953
11925,220546,.15499997
16026,2410,.67999995
16026,2991,.085000604
16026,4503,.0030001199
21165,2410,.1
28338,2991,.21000001
28338,12384,.25999999
28338,220546,.17999999
61409,2410,.10500039
273726,4503,.062505983
273726,24625,.23022346
273726,220546,.085905828
297209,61616,.019254873
23810,4503,.1
181745,185532,.14999899
9835,1678,.059000473
9835,164046,.081000246
21834,26069,.08000017
21834,34296,.1
30284,27677,.1
32303,16478,.11899979
33067,14934,.12
33067,18660,.1
33067,27786,.060195684
33067,29173,.1
34412,18465,.1
178851,1380,.10999929
178851,184442,.080000408
8079,12384,.099999897
65006,2410,.15000041
34412,9904,.1
178851,9904,.099997975
19184,65092,.1
22284,1380,.10600084
22284,187128,.11600225
12432,5439,.1
12432,2991,.1
22284,4430,.21400198
4818,4503,.17
33279,12555,.20999998
2497,9899,.23000002
4115,2136,.71940637
4115,9899,.79664838
4115,2884,.51046908
4115,174490,.13625301
4115,3226,.77985668
4115,126136,.13505001
2497,4430,.19999994
19516,12615,.1
66446,15247,.1
66446,1440,.1
66446,4029,.1
66446,4517,.1
66446,7366,.1
66446,8099,.1
66446,8539,.1
66446,14912,.1
66446,170748,.1
66446,4093,.1
66446,5742,.1
66446,7970,.1
66446,7977,.1
66446,8264,.1
66446,8272,.1
66446,156819,.1
66446,7974,.1
29609,63927,.11000017
3362,11259,.19973916
29609,11259,.11000017
5709,11259,.14666289
10793,11259,.17300001
2390,4016,.096001886
2390,11259,.36500111
170527,10247,.1
170527,11259,.064999998
62655,11259,.15299997
2663,11259,.19634515
6573,11259,.17160496
28790,7154,.13679379
8582,158743,.098641947
9777,11259,.29097995
62169,11259,.23283662
158743,11259,.23099972
62169,29028,.2457713
5071,11259,.048294537
6375,11259,.19
25424,11259,.10499959
163983,11259,.22199997
163983,29028,.1
24755,8479,.10997908
5597,3813,.1
5597,11259,.1
10609,11259,.23929508
10609,31587,.11120789
24755,3813,.12997547
24755,11259,.29994488
27576,11259,.42999893
8479,11259,.13
24316,12756,.09999992
3138,11259,.017750187
184526,11259,.10896511
184526,8815,.1
12761,25434,.099999838
184526,11264,.1
7146,8479,.10088973
14501,63927,.1
14501,28762,.1
7146,11259,.1109787
28877,11259,.14149421
8543,162876,.14
22168,16477,.1
3647,6543,.13094392
3622,11259,.50133544
3622,64768,.14140934
33476,8551,.02160161
33476,105936,.083555534
13362,3964,.2841596
19402,4611,.37361985
198058,4611,1
175319,3813,.12000006
175319,11259,.16000004
13362,7922,.38089478
19175,7922,.21399815
64891,4611,.078343734
28303,11259,.2887235
119316,16486,.1
29156,5680,.18999995
8386,10549,.1
12379,5680,.1
188255,5680,.13
163036,6669,.1
163036,12395,.1
163036,16653,.1
163036,25340,.1
163036,29755,.1
16477,4839,.156
16477,5073,.18100002
27333,15172,.11
27333,100737,.1
61519,179621,.1
2337,6104,.46000001
162264,19858,.050000001
179817,19858,.19
6435,11259,.14
128978,14624,.07
2556,11259,.23667999
24601,32372,.065216832
25124,32372,.018837852
31823,17436,.1
31823,9472,.1
31823,28194,.1
31823,8247,.1
31823,163113,.1
