Source,sic_supplier,comp_supplier,comp_customer,sic_customer,Target,year3,conm_customer,conm_supplier,salecs_supplier,sales_supplier,sales_customer,Weight,Type
65158,100,SCHEIDVINEYARDS,DIEO,2085,18636,2001,DIAGEO PLC  -ADR,SCHEID VINEYARDS INC  -CL A,34.45299911499023,45.97200039029121,35247.53125,.74943441,Directed
13155,100,MARGOCARIBE,HOMEDEPOT,5211,5680,2001,Home Depot Inc,MARGO CARIBE INC,6.556999921798706,27.23900032043457,157538,.24072102,Directed
111868,100,HINESHORTICULTURE,HOMEDEPOT,5211,5680,2001,HOME DEPOT INC,HINES HORTICULTURE INC,420.6839981079102,1086.833984375,157538,.38707292,Directed
13155,100,MARGOCARIBE,WAART,5331,11259,2001,Wal-Mart Stores,MARGO CARIBE INC,2.128999948501587,17.48800015449524,412967,.12174062,Directed
64275,200,CAAINEFOODS,WAART,5331,11259,2001,Wal-Mart Stores,CAL-MAINE FOODS INC,62.625,387.4620056152344,231577,.16162875,Directed
3801,700,DAVEYTREEEXPERT,PACGSEL,4931,65092,2001,Pacific Gas & Electric Company,DAVEY TREE EXPERT CO,143.004997253418,962.7929992675781,30613,.14853141,Directed
148352,800,USTIMBERLANDKLAMATHFAL,CROWNPACPARTNERS,2421,31195,2001,Crown Pacific Partners  -LP,US TIMBERLAND KLAMATHFAL LLC,18.82399964332581,179.7769992351532,1703.995018005371,.10470749,Directed
114426,1000,WESTBURYMETALS,STILLWATERMINING,1090,31203,2001,Stillwater Mining Co,WESTBURY METALS GROUP,5.14900016784668,99.01199913024902,225.2319984436035,.052003801,Directed
3107,1000,CLEVELANDCLIFFS,WEIRTONSTL,3312,15711,2001,Weirton Steel Corp,CLEVELAND-CLIFFS INC,265.306999206543,1377.799983978271,3114.345993041992,.19255842,Directed
3107,1000,CLEVELANDCLIFFS,ROUGEIND,3312,29954,2001,Rouge Industries Inc,CLEVELAND-CLIFFS INC,53.87400054931641,598.5999870300293,1127.001007080078,.090000004,Directed
3107,1000,CLEVELANDCLIFFS,AKSTLHING,3312,29968,2001,AK Steel Holding Corp,CLEVELAND-CLIFFS INC,150.6840019226074,1377.799983978271,12603.70007324219,.10936566,Directed
146132,1000,DOERUNRESOURCES,JOHNSONCONTROLS,3585,6268,2001,JOHNSON CONTROLS INC,DOE RUN RESOURCES CORP,81.12300109863281,1401.27099609375,38530.6005859375,.057892442,Directed
61419,1000,TAMINOMINERALS,RITEAID,5912,9155,2001,RITE AID CORP,TAMINO MINERALS INC,2.348000049591064,18.05099982023239,30962.42431640625,.1300759,Directed
14793,1220,ARCHCOAL,AMERNELPWR,4911,1440,2001,American Electric Power,ARCH COAL INC,613.1019897460938,4372.709045410156,62781,.14021102,Directed
14793,1220,ARCHCOAL,SOUTHERN,4911,9850,2001,Southern Co,ARCH COAL INC,548.9499969482422,4372.709045410156,30770,.12554002,Directed
122915,1220,ALLIANCERESOURCEPTNRS,TENNESSEEVALLEYAUTHORITY,4911,10447,2001,TENNESSEE VALLEY AUTHORITY,ALLIANCE RESOURCE PTNRS  -LP,0,446.2999954223633,6999,.1,Directed
11440,1220,WESTMORELANDCOAL,XCELENERGY,4931,7977,2001,Xcel Energy Inc,WESTMORELAND COAL CO,52.32600021362305,266.1850047111511,22525.43395996094,.19657756,Directed
141400,1220,MASSEYENERGY,DTEENERGY,4931,3897,2001,DTE Energy Co,MASSEY ENERGY CO,192.3970031738281,1603.304992675781,6729,.12000025,Directed
141400,1220,MASSEYENERGY,DUKEENERGY,4931,4093,2001,Duke Energy Corp,MASSEY ENERGY CO,473.9709930419922,3997.733001708984,83006,.11855994,Directed
146211,1221,LODESTAR,ALABAMAPWR,4911,1225,2001,ALABAMA POWER,LODESTAR HOLDINGS INC,9.38599967956543,234.640998840332,3667.461059570313,.040001534,Directed
146211,1221,LODESTAR,PACGSEL,4931,65092,2001,PACIFIC GAS & ELECTRIC CO,LODESTAR HOLDINGS INC,49.27500152587891,234.640998840332,9637,.21000166,Directed
2073,1311,EARTHSTNENERGY,MURPHYOIL,1311,7620,2001,MURPHY OIL CORP,EARTHSTONE ENERGY INC -OLD,1.090999960899353,2.585999965667725,3966.515991210938,.42188707,Directed
2204,1311,NATIONALENERGY,DUKEENERGYFIELDSVCS,1311,154354,2001,DUKE ENERGY FIELD SVCS CORP,NATIONAL ENERGY GROUP,3.351999998092651,43.51199972629547,14003.69409179688,.077036217,Directed
2437,1311,BROWNTOM,CONOCOPHILLIPS,1311,8549,2001,ConocoPhillips,BROWN (TOM) INC,39.33100128173828,284.9829978942871,50512,.13801175,Directed
8341,1311,PARALLELPETROLEUM,PURERESOURCES,1311,136009,2001,Pure Resources Inc,PARALLEL PETROLEUM CORP,8.782000303268433,47.08200037479401,972.5300025939941,.18652564,Directed
8755,1311,IMAENERGY,DUKEENERGYFIELDSVCS,1311,154354,2001,Duke Energy Field Svcs Corp,PRIMA ENERGY CORP,27.57500076293945,86.74900007247925,14003.69409179688,.31787109,Directed
8838,1311,PYRAMIDOIL,CONOCOPHILLIPS,1311,8549,2001,CONOCOPHILLIPS,PYRAMID OIL CO,.6919999718666077,1.615999966859818,50512,.4282178,Directed
13158,1311,EEX,SHELLOIL,1311,9653,2001,Shell Oil,EEX CORP,39.36199951171875,262.4119987487793,29671,.15000077,Directed
14359,1311,PIONEERNATURALRESOURCES,ANADARKOPETROLEUM,1311,11923,2001,Anadarko Petroleum Corp,PIONEER NATURAL RESOURCES CO,184.9910049438477,2401.539993286133,14063,.07703016,Directed
