Source,Target,Weight
187285,2663,.26946333
29962,147708,.17814365
30443,11259,.12660964
64275,11259,.10305372
64275,8815,.090566047
3801,65092,.10584056
19965,11456,.2131798
25776,14590,.079956524
25776,178148,.079956524
3107,65248,.20860934
65378,178148,.036760587
3153,7471,.057212286
7881,15634,.19772157
14793,23978,.1
14793,8290,.1
14793,10447,.084293336
122915,11188,.1
126046,5135,.92370081
160838,5135,.24204195
166363,10447,.13499786
166363,11188,.10504209
174312,1440,.16185211
174312,8455,.12709513
174312,140033,.13883851
180635,135990,.10041481
184569,8099,.12851359
14793,10860,.1
122915,23465,.1
141400,1995,.16368896
166363,23465,.12409246
184569,4093,.10631434
162283,2783,.1
162283,4029,.1
162283,5135,.1
7938,11259,.090231627
2073,7620,.18416803
3469,7017,.48325092
7309,8549,.11453151
8387,157074,.10032058
8512,165466,.11138756
8838,8549,.51231962
10877,8549,.017750619
10877,154357,.093810305
13871,65220,.1
18443,8068,.58000034
18443,165466,.13000715
19433,29173,.14325123
22053,8549,.19282283
22053,112876,.11971425
22962,8549,.12892488
22962,28256,.098080553
25874,165466,.1
28564,1380,.067075349
65220,157074,.1
106418,8549,.1
106418,142382,.1
118795,7017,.16000025
118795,8549,.3000001
139225,11923,.81004238
140905,8549,.40787372
142339,8549,.1
142382,7017,.092231579
142945,8549,.12999739
145729,8549,.15315914
146137,1380,.1
149268,8549,.47020781
151632,8549,.1
151632,11923,.1
155393,16478,.087363966
160341,8549,.11980892
162459,8549,.11696704
163921,8549,.023499131
164109,8549,.1
165466,8549,.00016088336
165466,163921,.09599366
171212,8549,.96999907
174656,7017,.1553845
174656,8549,.29999998
175510,8549,.086431675
176070,8549,.56368482
176899,8549,.11737016
177884,8549,.14817959
178319,7017,.34365234
178684,7017,.2153628
178798,165466,.2199987
179782,11923,.080001585
179831,11923,.34966454
184321,27786,.63905847
184442,1380,.1
184442,155393,.030874129
185654,8549,.16192439
187167,8549,.19176348
187812,8387,.1
187812,121934,.088159129
194755,8549,.075184509
1678,12384,.11
1682,220474,.33861017
2073,15247,.1559201
7017,186989,.17997681
8065,10156,.34901962
10877,15247,.076857932
13431,4503,.30708027
13871,24625,.1
20653,186989,.45166877
29173,12384,.12
66228,178672,.052567933
106418,10156,.1
142339,10156,.1
142540,133870,.104616
149268,15247,.11000016
160214,2410,.14000408
160214,2991,.26819268
160341,2991,.035099838
166061,4503,.1
170627,2991,.39000061
170781,2991,.045994375
175157,2991,.11000011
179782,165652,.83262521
184321,24625,.14358364
185654,4503,.12240928
185654,10156,.11999835
187167,10156,.11000343
282189,4503,.21999954
170627,5379,.3799974
187810,147208,.82921541
9693,6334,.84047472
148281,11506,.12000009
10877,8151,.090105228
10877,8873,.11768271
175157,8151,.28552228
179739,8151,.09000279
25874,4383,.050859861
108645,8272,.15991117
8065,20909,.94901961
149268,116029,.22000034
166436,20909,.098922633
2270,8549,.1321404
5581,16478,.080000184
9258,30234,.20999992
144809,1678,.066000775
144809,28256,.27899861
144809,118795,.15900238
164075,16478,.1000008
164075,155393,.093024485
2270,2991,.14
5581,2410,.092455007
5581,4503,.060000151
8357,2410,.12943132
8357,4503,.061173122
14908,4503,.050878108
14908,24625,.15521953
16026,2991,.1503875
16026,4503,.42980626
16026,24625,.41980627
28338,2410,.11218975
144809,4503,.25372437
164607,2991,.18764421
273726,2991,.069895037
273726,4503,.095066465
273726,12384,.096459381
273726,24625,.1267553
296944,12384,.20850593
296944,24625,.22645678
296944,14087,.1988401
3806,14934,.24000013
3806,27786,.29558647
181745,7422,.034503151
181745,8549,.022420559
181745,14934,.040843826
181745,100165,.057995986
12708,2410,.1
12708,61616,.1
181745,2410,.14100328
8901,27786,.12941386
9835,11923,.0236322
9835,14316,.036000174
9835,16478,.1
9835,20548,.011925259
9835,27786,.014983157
9835,155393,.0991164
25509,1678,.13
163929,27786,.21199961
176238,1678,.10000037
178851,27786,.24999839
180145,8549,.11099944
180145,27786,.15499918
186336,1678,.096999064
186336,7422,.10399971
186336,8440,.18614095
186336,11781,.10999553
186336,11923,.20856343
186336,16478,.1994243
186353,1976,1
186353,5439,1
186353,22794,.13998984
8079,2410,.11999979
9835,287882,.15413544
25509,2410,.11
25509,2991,.15000001
27816,2991,.11744159
28456,4503,.20860021
28456,24625,.18000001
65006,2410,.16999961
176238,2991,.13871983
12256,1690,1
178851,4242,.020013899
8901,9904,.12999968
170360,9904,.17250508
12256,63919,1
12256,28435,1
12256,6066,1
12432,4367,.35999605
12432,5439,.64000392
14182,8762,.052583981
25160,7017,.0016466853
4818,4503,.13000001
143710,10447,.040182605
143710,5047,.084531657
23195,2410,.099123299
23195,2991,.094887748
174310,2991,.16857831
279431,165680,.14109971
2497,9899,.2089992
4115,2136,.12407362
4115,9899,.19853891
4115,2884,.090943612
4115,148998,.021338349
4115,174490,.044436481
2497,12206,.25625917
4115,3226,.14512081
4115,126136,.05938958
4115,176404,.070646875
23195,156816,.049409602
180646,211819,.10599973
4115,7590,.0069997287
23195,116029,1
184241,2136,.094723515
184241,3226,.17792526
184241,12206,.51689422
184241,181904,.10999981
2340,14912,.056958519
2340,135990,.11364014
163877,4093,.20595494
29609,63927,.20369722
197956,63927,.24214815
3362,11259,.17022336
12978,11259,.24487004
29942,11259,.18331859
197956,3813,.054511048
197956,29028,.091595858
5709,11259,.13216849
10793,11259,.13485126
