Source,Target,Weight
7920,7180,1
7920,7180,.12003887
7920,6104,1
7920,6104,.25004047
7920,10855,1
7920,10855,.089988656
9728,3235,1
3153,1789,1
3153,1789,.99000001
5560,1789,.1465684
5686,1789,.069741502
5784,1789,1
5784,1789,1
9728,1789,1
9728,1789,1
1856,5135,.42415464
1856,5743,.10947619
3948,4240,1
3104,1789,1
3104,1789,1
2040,9653,.086270794
1223,5073,1
1223,5073,.049823586
8839,5385,.1488857
1732,9653,.1
2073,1788,1
2073,1788,.12889637
2164,1678,1
2164,5384,1
2419,7620,1
2880,7620,1
2880,7620,.18837592
3196,1788,1
3196,1788,.23698884
4496,9653,1
6365,9653,1
7930,9653,.1
8065,9177,.083092481
8524,9653,.019818896
8709,7620,.30599216
10146,9653,.15810014
10923,9653,1
10887,5381,1
2147,3398,1
2147,3398,.066113412
2437,4503,1
2437,4503,.079169892
2631,10621,.12115669
3637,5148,.055935301
4362,10621,.64804465
6365,3398,1
7560,3398,.067431889
7912,5148,.1
7912,10482,.1
8300,5790,.18068965
8521,5148,.13536461
10036,10621,.2299578
10143,4503,.11002165
10522,5790,1
7792,1365,.1
10938,1365,1
10938,1365,.15169904
2209,7585,1
9873,10165,1
4552,4240,.05540897
3930,9712,.14858325
3637,2941,.071166955
2304,5940,1
4336,9653,1
5406,8505,.052588131
8954,1678,.095751904
8955,1678,1
11141,9653,.019847875
1661,1609,.083883308
1661,5790,.14649263
1860,4503,1
1860,4503,.13999802
2270,4503,.11418389
4367,1609,.1
5187,4503,.18203658
7901,1609,.08114858
7901,3398,1
7901,3398,.14943668
7901,4503,.062548712
9258,3398,.099997878
3600,1365,1
3600,1365,.21394952
8429,10503,.058619697
7928,5384,1
8079,9653,.10578609
9835,10585,.15396206
10397,9653,1
10397,9653,.25000909
1347,2991,.14630756
7546,7475,1
7546,10482,1
10397,2991,1
10397,2991,.099989094
10397,3398,1
10397,3398,.099989094
8095,1755,1
8095,1755,.053210273
8947,6307,1
7359,8446,1
8451,2189,.099999465
5218,3980,.1113165
7635,5808,.14999969
10929,9359,1
5196,6502,.12104771
8997,6502,1
8997,6502,.11999471
6425,7154,.10593803
9303,6307,.14750995
7493,11263,1
4910,3708,.37388232
5213,7154,1
3847,11263,.10999834
6481,1240,.097332247
1032,5055,1
3245,6375,1
3245,6375,.23578703
6573,5073,.1
6573,6307,.1
10073,1620,1
5563,10983,.1
9140,2272,.20359755
2196,6307,.17864904
3622,6307,.20452653
4635,6307,.14384717
3176,3022,1
3176,4839,1
3176,5073,1
1120,6307,.096166469
1235,8446,.12783387
10021,6307,.20423378
10021,7544,.069996938
10021,8446,.1976106
2068,3022,.28992066
2068,5073,.31325892
7087,4839,.17246018
7087,5073,.17221557
3211,6307,1
5005,3022,.27182034
5005,5073,.70816129
3125,6307,.091670059
3125,8446,.081485502
4993,6307,.23866306
4993,8446,.16318549
6348,8446,1
6468,6307,.082437508
6468,8446,.095908478
6880,8446,.44395861
7400,6307,1
7400,7544,1
7400,8446,1
8219,6307,.11610944
8219,8446,.27224949
8551,8446,.10624668
9955,6307,.13299462
10593,8446,.1
2091,7544,1
2091,8446,1
5456,8446,.070001319
7916,6307,.22348116
8255,6307,1
8255,6307,.2900095
8255,8446,1
8576,8446,.14950252
9382,6307,.39299971
9382,8446,.18637395
2584,6307,1
2584,8446,1
6342,6307,1
6376,6307,.32950556
5516,8446,1
7644,8446,1
6184,4839,.11626049
6184,5073,.32149574
7889,3980,.024884086
3120,6307,.10236654
4447,6307,.24276334
6821,5134,.024013182
7000,4839,.29002857
1777,2893,1
8386,9761,1
8386,9761,.17842591
10518,4768,1
10518,4768,.43921298
2716,5680,.10797787
2502,6928,1
2502,8446,1
6614,4594,1
6614,6307,1
6614,8446,1
8101,6307,.18946859
2080,8446,.12490498
4947,2817,.12229092
4055,3022,1
4055,3022,.22000338
4055,4839,1
4055,4839,.54000378
4055,5073,1
4055,5073,.099997021
5699,3022,.039999865
5699,4839,.11175854
5699,5073,.13939409
1496,4839,1
1496,4839,.09999416
6226,6375,.032865208
11315,7180,1
6226,7692,.1
6226,9316,.079977356
1969,11274,1
1969,11274,.11400494
3421,5073,1
3421,5073,.10265878
3421,4218,.10703646
10338,11636,1
10338,11636,.070047542
1589,6307,1
1589,6307,.22002968
1403,5349,1
1403,5349,.1
6528,7475,.1
4455,5073,.12491737
5608,2285,.17102854
10902,9465,1
5020,6730,1
6414,8530,.049897078
1514,13204,1
2901,9653,1
3888,6307,.70501339
5354,4839,.1
5354,5073,.093278311
8849,5047,1
8634,5134,1
8345,5073,.093268439
2643,3022,1
3502,5589,.14778841
10873,5073,.15360904
1761,6307,.36678946
7502,6307,.11321952
1600,8446,1
11618,3022,.069208212
3200,2285,.0047133821
4819,2285,1
4819,2285,.075496078
3200,6774,.0084185349
3523,4839,1
3523,4839,.29000711
3523,5073,1
3523,5073,.41998583
11376,2111,.1175917
11225,5109,1
5464,2189,.039767202
8226,3022,1
8226,3022,.1
8226,5073,1
8226,5073,.38999394
4000,3022,.1
4000,4839,.1
4000,5073,.029459881
8322,5073,1
8322,6066,1
8769,5169,1
8769,5169,.1
11468,5245,1
3765,7244,1
10515,10443,1
10218,7155,1
10218,7155,.089290164
8465,6307,.078525469
9629,2061,.15997511
9629,4218,.15711389
5367,13961,.1
7512,5439,1
7512,5439,.14563279
9837,5439,.12000119
11025,6307,.32490078
4935,9634,1
1312,4839,1
11600,5073,1
11600,5073,.14633533
6278,5073,1
6531,5073,.039959859
6537,5073,1
7175,5073,.15237273
9064,5073,.092040367
9188,5073,.044507973
6945,6307,1
2471,4839,.090855114
2471,5073,.19124375
8722,11328,1
2451,8820,1
2451,3022,1
2451,4839,1
2451,5073,1
5532,4839,.14036842
5532,5073,.078162208
7949,5073,.21380386
10132,6502,1
10930,8889,1
8907,5245,1
8907,5245,.1
8051,8123,1
8051,11636,1
4178,6307,.27033752
11549,5073,1
11255,11465,1
11255,11465,.044992391
6391,5073,1
11255,5073,1
11255,5073,.070015222
11462,5073,1
11255,5256,1
11255,5256,.084992394
11138,6307,.2141763
9981,5073,.17815073
10179,4864,1
9121,9761,.067822762
7703,8446,1
10114,2991,.18575513
10114,5148,.1623223
4305,4768,.1
2098,9653,1
2098,9653,.097952262
2098,4503,1
2098,4503,.19407853
4625,2817,1
4625,2817,.13299938
2457,3022,.58453262
2457,4839,.1
2457,5073,.1
4250,5073,1
4607,4839,1
4607,5073,1
7324,3022,1
7324,4839,1
7324,5073,1
7468,5073,.12798373
4545,2285,.10237798
6841,5496,.18005267
9984,2817,.070844591
11262,2817,.10319326
11661,7585,1
1009,5073,1
2952,5073,.3386215
4967,4839,1
4967,5073,1
5758,4839,.72967362
5758,5073,.12642089
9162,4839,1
9162,5073,1
9984,4839,.062127609
9984,5073,.059689734
6841,8972,.10994074
1009,4321,1
6589,6066,1
6953,2189,1
8636,8889,1
2521,9653,.058273561
9474,2062,.14690351
5198,1209,1
2065,6382,1
10957,3955,1
10957,7244,1
6701,5073,.24384898
8358,5073,.035411313
1747,2157,1
1747,5046,1
1747,5361,1
8358,2285,.032450467
9474,6307,.019983191
1747,5047,1
10957,5047,1
3650,4839,.043214537
3650,8253,.080763489
10048,2817,1
10048,4839,1
1754,6307,.40840891
7624,6307,.1
7624,8446,.1
9234,6307,.25095135
7491,6066,.53268427
9335,2898,.14140555
9335,7155,.08436846
2802,5816,1
2802,5816,.19807771
4437,4839,1
10666,4598,.13414797
2241,8556,.11024953
9556,5073,1
10852,5073,1
10219,2157,1
10219,5492,1
3610,2817,1
3610,4839,1
3610,5073,1
5181,5073,.21226457
6503,4839,1
6503,6066,1
1103,2817,.14214309
1704,7585,1
6509,7585,1
1103,3022,.42700097
1103,5073,.25844595
