Source,sic_supplier,comp_supplier,comp_customer,sic_customer,Target,year3,conm_customer,conm_supplier,salecs_supplier,sales_supplier,sales_customer,Weight,Type
20553,1311,SEARCHEXPLORATION,SMITH,2890,9772,1992,SMITH,SEARCH EXPLORATION INC,.1569999940693378,1.206999999471009,431.3810043334961,.13007456,Directed
1678,1311,APACHE,AMOCO,2911,15257,1992,AMOCO CO,APACHE CORP,208.3680000305176,1228.38200378418,143967,.16962801,Directed
2257,1311,BLACKDOMEENERGY,TEXACO,2911,10482,1992,TEXACO INC,BLACK DOME ENERGY CORP,.0270000007003546,.2420000024139881,37271,.11157025,Directed
4166,1311,ELEEXPLORATION,FINA,2911,1537,1992,FINA INC,EAGLE EXPLORATION CO/CO,.1799999997019768,.7170000113546848,6729.8759765625,.25104603,Directed
7159,1311,MCFARLANDENERGY,CHEVRON,2911,2991,1992,CHEVRON CP,MCFARLAND ENERGY INC,15.41900014877319,42.94600033760071,102832,.35903227,Directed
7159,1311,MCFARLANDENERGY,TEXACO,2911,10482,1992,TEXACO INC,MCFARLAND ENERGY INC,8.214999914169312,42.94600033760071,106203,.19128673,Directed
7276,1311,MESA,MAPCO,2911,7008,1992,MAPCO INC,MESA INC,157.8000030517578,708.8620147705078,7849.400024414063,.22261032,Directed
7678,1311,NAHAMAWEANTENERGY,TOSCO,2911,10621,1992,TOSCO,NAHAMA & WEAGANT ENERGY CO,8.214000165462494,21.79800021648407,9379.585998535156,.37682357,Directed
7934,1311,NORSULOIINING,TEXACO,2911,10482,1992,TEXACO INC,NORSUL OIL & MINING LTD,0,.9100000262260437,37271,.1,Directed
8324,1311,HARCORENERGY,AMOCO,2911,15257,1992,AMOCO,HARCOR ENERGY CO,1.776000022888184,18.75499987602234,143967,.094694749,Directed
8521,1311,PETROMINERALS,CHEVRON,2911,2991,1992,CHEVRON CP,PETROMINERALS CORP,9.546999931335449,20.31099992990494,102832,.47004086,Directed
8627,1311,PLAINSRESOURCES,CHEVRON,2911,2991,1992,CHEVRON CP,PLAINS RESOURCES INC,61.22200012207031,318.6790027618408,66371,.19211181,Directed
