Source,sic_supplier,comp_supplier,comp_customer,sic_customer,Target,year3,conm_customer,conm_supplier,salecs_supplier,sales_supplier,sales_customer,Weight,Type
187285,100,CERES,CAMPBL,2030,2663,2010,Campbell Soup Co,CERES INC,3.564999938011169,13.2299998998642,15395,.26946333,Directed
29962,100,LIMONEIRA,CALAVOGROWERS,5140,147708,2010,Calavo Growers Inc,LIMONEIRA CO,19.02199983596802,106.7789988517761,920.880012512207,.17814365,Directed
30443,100,FRESHDEONTEODUCE,WAART,5331,11259,2010,Wal-Mart Stores Inc,FRESH DEL MONTE PRODUCE INC,1347,10638.99993896484,1276884,.12660964,Directed
64275,200,CAAINEFOODS,WAART,5331,11259,2010,Wal-Mart Stores,CAL-MAINE FOODS INC,305.5790100097656,2965.239990234375,1276884,.10305372,Directed
64275,200,CAAINEFOODS,PUBLIXSUPERMARKETS,5411,8815,2010,PUBLIX SUPER MARKETS INC,CAL-MAINE FOODS INC,186.1220016479492,2055.096984863281,52506.81787109375,.090566047,Directed
3801,700,DAVEYTREEEXPERT,PACGSEL,4931,65092,2010,Pacific Gas & Electric Co,DAVEY TREE EXPERT CO,190.5,1799.876983642578,42190,.10584056,Directed
19965,800,POPERESOURCESDE,WEYERHAEUSER,2400,11456,2010,WEYERHAEUSER CO,POPE RESOURCES/DE  -LP,11.01500010490417,51.66999864578247,11482,.2131798,Directed
25776,1000,SANTAFEG,FREEPORTMCMORAN,1000,14590,2010,Freeport McMoran Inc,SANTA FE GOLD CORP,.5149999856948853,6.440999984741211,20880,.079956524,Directed
25776,1000,SANTAFEG,SANDSTORMG,1040,178148,2010,Sandstorm Gold Ltd,SANTA FE GOLD CORP,.5149999856948853,6.440999984741211,29.96699976921082,.079956524,Directed
3107,1000,CLEVELANDCLIFFS,ARCELORMITTAL,3312,65248,2010,ARCELORMITTAL -ADR,CLEVELAND-CLIFFS INC,2835.585083007813,13592.79995727539,237108,.20860934,Directed
65378,1040,LUN,SANDSTORMG,1040,178148,2010,SANDSTORM GOLD LTD,LUNA GOLD CORP,2.625000059604645,71.40800017118454,33.11499977111816,.036760587,Directed
3153,1040,COEURMINING,MITSUI,5000,7471,2010,Mitsui & Co Ltd,COEUR MINING INC,105.0999984741211,1837.018001556396,164126.779296875,.057212286,Directed
7881,1040,MONTG,ROYALBKOFSCOTLAND,6020,15634,2010,ROYAL BANK OF SCOTLAND  -ADR,NEWMONT GOLDCORP CORP,2048,10358,51236.36474609375,.19772157,Directed
14793,1220,ARCHCOAL,UTDSTATESSTL,3312,23978,2010,United States Steel Corp,ARCH COAL INC,0,4285.894958496094,19884,.1,Directed
14793,1220,ARCHCOAL,PACIFI,4911,8290,2010,Pacificorp,ARCH COAL INC,0,2576.080932617188,4457,.1,Directed
14793,1220,ARCHCOAL,TENNESSEEVALLEYAUTHORITY,4911,10447,2010,Tennessee Valley Authority,ARCH COAL INC,846.9999694824219,10048.24389648438,33970,.084293336,Directed
122915,1220,ALLIANCERESOURCEPTNRS,VIRGINIAELPWR,4911,11188,2010,VIRGINIA ELECTRIC & POWER CO,ALLIANCE RESOURCE PTNRS  -LP,0,1231.031005859375,6584,.1,Directed
126046,1220,NATIONALCOAL,GEORGIAPWR,4911,5135,2010,GEORGIA POWER,NATIONAL COAL CORP,81.31800079345703,88.03499984741211,7691.739868164063,.92370081,Directed
160838,1220,JAMESRIVERCOAL,GEORGIAPWR,4911,5135,2010,GEORGIA POWER,JAMES RIVER COAL CO,619.7070159912109,2560.329010009766,24840.73999023438,.24204195,Directed
166363,1220,ALLIANCEGP,TENNESSEEVALLEYAUTHORITY,4911,10447,2010,Tennessee Valley Authority,ALLIANCE HOLDINGS GP LP,632.2689895629883,4683.548004150391,33970,.13499786,Directed
166363,1220,ALLIANCEGP,VIRGINIAELPWR,4911,11188,2010,Virginia Electric & Power Co,ALLIANCE HOLDINGS GP LP,129.2649993896484,1230.601989746094,6584,.10504209,Directed
174312,1220,RHINORESOURCEPARTNERS,AMERNELPWR,4911,1440,2010,AMERICAN ELECTRIC POWER CO,RHINO RESOURCE PARTNERS LP,176.8489952087402,1092.657997131348,43032,.16185211,Directed
174312,1220,RHINORESOURCEPARTNERS,PPL,4911,8455,2010,PPL CORP,RHINO RESOURCE PARTNERS LP,46.67200088500977,367.2210006713867,12737,.12709513,Directed
174312,1220,RHINORESOURCEPARTNERS,GENONENERGY,4911,140033,2010,GenOn Energy Inc,RHINO RESOURCE PARTNERS LP,93.41999816894531,672.8679962158203,5884,.13883851,Directed
180635,1220,CLOUDPEAKENERGY,NRGENERGY,4911,135990,2010,NRG Energy Inc,CLOUD PEAK ENERGY INC,140.3999938964844,1398.200012207031,8952,.10041481,Directed
184569,1220,WESTMORELANDRESPARTNERS,FIRSTENERGY,4911,8099,2010,First Energy,WESTMORELAND RES PARTNERS LP,97.27899932861328,756.9550018310547,35076,.12851359,Directed
14793,1220,ARCHCOAL,AMEREN,4931,10860,2010,Ameren Corp,ARCH COAL INC,0,5762.348937988281,14728,.1,Directed
122915,1220,ALLIANCERESOURCEPTNRS,LOUISVILLEGSANDEL,4931,23465,2010,LOUISVILLE GAS AND ELECTRIC,ALLIANCE RESOURCE PTNRS  -LP,0,4684.656036376953,2675,.1,Directed
141400,1220,MASSEYENERGY,CONSTELLATIONENERGYGRP,4931,1995,2010,CONSTELLATION ENERGY GRP INC,MASSEY ENERGY CO,440.5130004882813,2691.158996582031,15598.80004882813,.16368896,Directed
166363,1220,ALLIANCEGP,LOUISVILLEGSANDEL,4931,23465,2010,Louisville Gas And Electric,ALLIANCE HOLDINGS GP LP,581.1930084228516,4683.548004150391,2675,.12409246,Directed
184569,1220,WESTMORELANDRESPARTNERS,DUKEENERGY,4931,4093,2010,Duke Energy Corp,WESTMORELAND RES PARTNERS LP,111.7150020599365,1050.799003601074,41532,.10631434,Directed
162283,1221,COAL,OGRESSENERGY,4911,2783,2010,PROGRESS ENERGY INC,INTERNATIONAL COAL GROUP INC,0,2249.218978881836,20075,.1,Directed
162283,1221,COAL,DOMINIONENERGY,4911,4029,2010,Dominion Energy,INTERNATIONAL COAL GROUP INC,0,1166.470977783203,15197,.1,Directed
162283,1221,COAL,GEORGIAPWR,4911,5135,2010,GEORGIA POWER,INTERNATIONAL COAL GROUP INC,0,2249.218978881836,16040.73999023438,.1,Directed
7938,1221,NACCOIND,WAART,5331,11259,2010,Wal-Mart Stores Inc,NACCO INDUSTRIES  -CL A,521.6199951171875,5780.899993896484,1276884,.090231627,Directed
2073,1311,EARTHSTNENERGY,MURPHYOIL,1311,7620,2010,Murphy Oil Corp,EARTHSTONE ENERGY INC -OLD,2.850000083446503,15.47499990463257,39111.32983398438,.18416803,Directed
3469,1311,CONTINENTALRESOURCES,MARATHONOIL,1311,7017,2010,MARATHON OIL CORP,CONTINENTAL RESOURCES INC,1505.358032226563,3115.06502532959,74899,.48325092,Directed
7309,1311,MEXCOENERGY,CONOCOPHILLIPS,1311,8549,2010,Conocophillips,MEXCO ENERGY CORP,1.105000004172325,9.648000001907349,375964,.11453151,Directed
8387,1311,GOODRICHPETROLEUM,CROSSTEXENERGY,1311,157074,2010,CROSSTEX ENERGY INC,GOODRICH PETROLEUM CORP,11.07800006866455,110.4259986877441,1583.550964355469,.10032058,Directed
8512,1311,PDCENERGY,DMIDSTREAM,1311,165466,2010,"DCP Midstream, LP",PDC ENERGY INC,108.0300006866455,969.8569850921631,4636.900009155273,.11138756,Directed
8838,1311,PYRAMIDOIL,CONOCOPHILLIPS,1311,8549,2010,CONOCOPHILLIPS,PYRAMID OIL CO,6.924000024795532,13.51499992609024,375964,.51231962,Directed
10877,1311,UNIT,CONOCOPHILLIPS,1311,8549,2010,Conocophillips,UNIT CORP,49.41300010681152,2783.734024047852,375964,.017750619,Directed
10877,1311,UNIT,QEPRESOURCES,1311,154357,2010,QEP Resources Inc,UNIT CORP,195.2109985351563,2080.912017822266,5405.599975585938,.093810305,Directed
13871,1311,SUMMITMIDSTREAMPARTNERS,CARRIZOOILGS,1311,65220,2010,Carrizo Oil & Gas Inc,SUMMIT MIDSTREAM PARTNERS LP,0,103.5519981384277,202.1669998168945,.1,Directed
18443,1311,ATHLONENERGY,OCCIDENTALPETROLEUM,1311,8068,2010,Occidental Petroleum Corp,ATHLON ENERGY INC,38.09500122070313,65.68099975585938,23939,.58000034,Directed
18443,1311,ATHLONENERGY,DMIDSTREAM,1311,165466,2010,DCP Midstream,ATHLON ENERGY INC,8.538999557495117,65.68099975585938,2350.700012207031,.13000715,Directed
19433,1311,PANHANDLEOILGS,FIELDEXPLORATION,1311,29173,2010,Newfield Exploration Co,PANHANDLE OIL & GAS INC,19.05800008773804,133.0390005111694,5692,.14325123,Directed
22053,1311,CONTANGOOILGS,CONOCOPHILLIPS,1311,8549,2010,CONOCOPHILLIPS,CONTANGO OIL & GAS CO,106.3199996948242,551.3870010375977,375964,.19282283,Directed
22053,1311,CONTANGOOILGS,ENTERISEODSTNRS,1311,112876,2010,ENTERPRISE PRODS PRTNRS  -LP,CONTANGO OIL & GAS CO,41.86000061035156,349.6660003662109,59250.19873046875,.11971425,Directed
22962,1311,RESERVEPETROLEUM,CONOCOPHILLIPS,1311,8549,2010,Conocophillips,RESERVE PETROLEUM CO,1.161999940872192,9.013000011444092,136016,.12892488,Directed
22962,1311,RESERVEPETROLEUM,XTOENERGY,1311,28256,2010,XTO Energy Inc.,RESERVE PETROLEUM CO,.8840000033378601,9.013000011444092,9052,.098080553,Directed
25874,1311,PETROQUESTENERGY,DMIDSTREAM,1311,165466,2010,DCP Midstream LP,PETROQUEST ENERGY INC,0,218.8750038146973,1008.199996948242,.1,Directed
28564,1311,STNENERGY,HESS,1311,1380,2010,Hess Corp,STONE ENERGY CORP,150.5480041503906,2244.460968017578,101942,.067075349,Directed
65220,1311,CARRIZOOILGS,CROSSTEXENERGY,1311,157074,2010,CROSSTEX ENERGY LP,CARRIZO OIL & GAS INC,0,252.2020034790039,3376.226928710938,.1,Directed
106418,1311,FIELDPOINTPETROLEUM,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,FIELDPOINT PETROLEUM CORP,0,7.009000062942505,175752,.1,Directed
106418,1311,FIELDPOINTPETROLEUM,ENCOREACQUISITION,1311,142382,2010,ENCORE ACQUISITION CO,FIELDPOINT PETROLEUM CORP,0,3.910000026226044,685.4160003662109,.1,Directed
118795,1311,QUICKSILVERRESOURCES,MARATHONOIL,1311,7017,2010,MARATHON OIL CORP,QUICKSILVER RESOURCES INC,281.7710113525391,1761.066009521484,60236,.16000025,Directed
118795,1311,QUICKSILVERRESOURCES,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,QUICKSILVER RESOURCES INC,528.3199920654297,1761.066009521484,311768,.3000001,Directed
139225,1311,GSCOENERGY,ANADARKOPETROLEUM,1311,11923,2010,ANADARKO PETROLEUM CORP,GASCO ENERGY INC,48.34900093078613,59.68700051307678,32934,.81004238,Directed
140905,1311,EPLOILGS,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,EPL OIL & GAS INC,239.9259986877441,588.2360038757324,239948,.40787372,Directed
142339,1311,GMXRESOURCES,CONOCOPHILLIPS,1311,8549,2010,Conocophillips,GMX RESOURCES INC,0,116.7409992218018,64196,.1,Directed
142382,1311,ENCOREACQUISITION,MARATHONOIL,1311,7017,2010,Marathon Oil Corp,ENCORE ACQUISITION CO,63.21699905395508,685.4160003662109,48546,.092231579,Directed
142945,1311,ARENARESOURCES,CONOCOPHILLIPS,1311,8549,2010,CONOCOPHILLIPS CO.,ARENA RESOURCES INC,16.4109992980957,126.2409992218018,136016,.12999739,Directed
145729,1311,PENNVIRGINIARESTNR,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,PENN VIRGINIA RES PRTNR -OLD,230.4800033569336,1504.839996337891,311768,.15315914,Directed
146137,1311,ENDEAVOUR,HESS,1311,1380,2010,HESS CORP,ENDEAVOUR INTERNATIONAL CORP,0,60.09099960327148,38466,.1,Directed
149268,1311,FREEPORTMCMRNOILGSREDH,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,FREEPORT MCMRN OIL&GAS -REDH,2208.195983886719,4696.212921142578,375964,.47020781,Directed
151632,1311,WARRENRESOURCES,CONOCOPHILLIPS,1311,8549,2010,CONOCOPHILLIPS,WARREN RESOURCES INC,0,255.0480012893677,375964,.1,Directed
151632,1311,WARRENRESOURCES,ANADARKOPETROLEUM,1311,11923,2010,ANADARKO PETROLEUM CORP,WARREN RESOURCES INC,0,255.0480012893677,32934,.1,Directed
155393,1311,WHITINGPETROLEUM,EOGRESOURCES,1311,16478,2010,EOG Resources Inc.,WHITING PETROLEUM CORP,249.4900054931641,2855.754013061523,13838.37884521484,.087363966,Directed
160341,1311,WTOFFSHORE,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,W&T OFFSHORE INC,271.1209945678711,2262.945007324219,375964,.11980892,Directed
162459,1311,HIGHPOINTRESOURCES,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips Company,HIGHPOINT RESOURCES CORP,81.60299682617188,697.6580047607422,175752,.11696704,Directed
163921,1311,WILLIAMSPARTNERS,CONOCOPHILLIPS,1311,8549,2010,Conocophillips,WILLIAMS PARTNERS LP,108.1429977416992,4602,136016,.023499131,Directed
164109,1311,LINNENERGY,CONOCOPHILLIPS,1311,8549,2010,Conocophillips,LINN ENERGY INC,0,1045.428981781006,311768,.1,Directed
165466,1311,DMIDSTREAM,CONOCOPHILLIPS,1311,8549,2010,Conocophillips,DCP MIDSTREAM LP,.7460000067949295,4636.900009155273,375964,.00016088336,Directed
165466,1311,DMIDSTREAM,WILLIAMSPARTNERS,1311,163921,2010,Williams Partners LP,DCP MIDSTREAM LP,445.1130142211914,4636.900009155273,17046,.09599366,Directed
171212,1311,PACCOASTOILTR,CONOCOPHILLIPS,1311,8549,2010,Conocophillips,PACIFIC COAST OIL TRUST,169.4210052490234,174.6609954833984,239948,.96999907,Directed
174656,1311,BREITBURNENERGYPARTNERS,MARATHONOIL,1311,7017,2010,Marathon Oil Corp,BREITBURN ENERGY PARTNERS LP,161.689998626709,1040.580015182495,74899,.1553845,Directed
174656,1311,BREITBURNENERGYPARTNERS,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,BREITBURN ENERGY PARTNERS LP,312.1739883422852,1040.580015182495,375964,.29999998,Directed
175510,1311,PVRPARTNERS,CONOCOPHILLIPS,1311,8549,2010,CONOCOPHILLIPS CO.,PVR PARTNERS LP,230.4800033569336,2666.615005493164,375964,.086431675,Directed
176070,1311,VENOCO,CONOCOPHILLIPS,1311,8549,2010,CONOCOPHILLIPS,VENOCO INC,551.9720077514648,979.2209959030151,375964,.56368482,Directed
176899,1311,SANDRIDGEENERGY,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips Company,SANDRIDGE ENERGY INC,109.3580017089844,931.7360076904297,175752,.11737016,Directed
177884,1311,CONCHORESOURCES,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,CONCHO RESOURCES INC,397.1559906005859,2680.233993530273,239948,.14817959,Directed
178319,1311,ENCOREENERGYPARTNERS,MARATHONOIL,1311,7017,2010,Marathon Oil Corp,ENCORE ENERGY PARTNERS LP,119.8460006713867,348.742000579834,60236,.34365234,Directed
178684,1311,VANGUARDNATURALRESOURCES,MARATHONOIL,1311,7017,2010,Marathon Oil Corp,VANGUARD NATURAL RESOURCES,68.82499694824219,319.5770028233528,14663,.2153628,Directed
178798,1311,APOACHRESOURCES,DMIDSTREAM,1311,165466,2010,"DCP Midstream, LLC",APPROACH RESOURCES INC,23.84499931335449,108.386999130249,2350.700012207031,.2199987,Directed
179782,1311,RESOLUTEENERGY,ANADARKOPETROLEUM,1311,11923,2010,Anadarko Petroleum Corp,RESOLUTE ENERGY CORP,18.15299987792969,226.9079971313477,13882,.080001585,Directed
179831,1311,WESTERNGSPARTNERS,ANADARKOPETROLEUM,1311,11923,2010,ANADARKO PETROLEUM CORP,WESTERN GAS PARTNERS LP,636.0440063476563,1819.012016296387,32934,.34966454,Directed
184321,1311,ACCESSMIDSTREAMPARTNERS,CHESAPEAKEENERGY,1311,27786,2010,CHESAPEAKE ENERGY CORP,ACCESS MIDSTREAM PARTNERS LP,953.0790100097656,1491.379981994629,28703,.63905847,Directed
184442,1311,OASISPETROLEUM,HESS,1311,1380,2010,Hess Corp,OASIS PETROLEUM INC,0,459.3490009307861,72328,.1,Directed
184442,1311,OASISPETROLEUM,WHITINGPETROLEUM,1311,155393,2010,Whiting Petroleum Corp,OASIS PETROLEUM INC,14.18200016021729,459.3490009307861,3396.940002441406,.030874129,Directed
185654,1311,QRENERGY,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,QR ENERGY LP,100.5509986877441,620.9749946594238,239948,.16192439,Directed
187167,1311,LRRENERGY,CONOCOPHILLIPS,1311,8549,2010,CONOCOPHILLIPS,LRR ENERGY LP,73.1150016784668,381.2769947052002,375964,.19176348,Directed
187812,1311,MATADORRESOURCES,GOODRICHPETROLEUM,1311,8387,2010,GOODRICH PETROLEUM CORP,MATADOR RESOURCES CO,0,146.0130004882813,459.827995300293,.1,Directed
187812,1311,MATADORRESOURCES,PETROHAWKENERGY,1311,121934,2010,PETROHAWK ENERGY CORP,MATADOR RESOURCES CO,3.744999885559082,42.48000049591064,1600.647033691406,.088159129,Directed
194755,1311,AMPLIFYENERGY,CONOCOPHILLIPS,1311,8549,2010,ConocoPhillips,AMPLIFY ENERGY CORP,13.87500047683716,184.5460052490234,239948,.075184509,Directed
1678,1311,APACHE,ROYALDUTCHSHELL,2911,12384,2010,Royal Dutch Shell PLC,APACHE CORP,1849.099975585938,16810,470171,.11,Directed
1682,1311,APCOOILANDGS,PETROBRASARGENTINA,2911,220474,2010,Petrobras Argentina SA,APCO OIL AND GAS INTL INC,89.83700084686279,265.3110017776489,9194.14599609375,.33861017,Directed
2073,1311,EARTHSTNENERGY,VALEROENERGY,2911,15247,2010,Valero Energy Corp,EARTHSTONE ENERGY INC -OLD,4.238999962806702,27.18700003623962,270163,.1559201,Directed
7017,1311,MARATHONOIL,MARATHONPETROLEUM,2911,186989,2010,MARATHON PETROLEUM CORP,MARATHON OIL CORP,2639,14663,73524,.17997681,Directed
8065,1311,OAKRIDGEENERGY,SUNOCO,2911,10156,2010,SUNOCO INC,OAKRIDGE ENERGY INC,.3560000061988831,1.019999980926514,27884,.34901962,Directed
10877,1311,UNIT,VALEROENERGY,2911,15247,2010,Valero Energy Corp,UNIT CORP,92.93699645996094,1209.205017089844,125095,.076857932,Directed
13431,1311,BERRYPETROLEUM,EXXON,2911,4503,2010,EXXON MOBIL CORP,BERRY PETROLEUM,490.1210021972656,1596.067993164063,775104,.30708027,Directed
13871,1311,SUMMITMIDSTREAMPARTNERS,TOTAL,2911,24625,2010,Total,SUMMIT MIDSTREAM PARTNERS LP,0,103.5519981384277,216065.3125,.1,Directed
20653,1311,DENBURYRESOURCES,MARATHONPETROLEUM,2911,186989,2010,Marathon Petroleum Corp,DENBURY RESOURCES INC,2251.337982177734,4984.488952636719,171409,.45166877,Directed
29173,1311,FIELDEXPLORATION,ROYALDUTCHSHELL,2911,12384,2010,Royal Dutch Shell PLC,NEWFIELD EXPLORATION CO,296.5199890136719,2471,470171,.12,Directed
66228,1311,MILLERENERGYRESOURCES,CVRENERGY,2911,178672,2010,CVR Energy Inc,MILLER ENERGY RESOURCES INC,3.607999950647354,68.63500016927719,12245.20989990234,.052567933,Directed
106418,1311,FIELDPOINTPETROLEUM,SUNOCO,2911,10156,2010,Sunoco Inc.,FIELDPOINT PETROLEUM CORP,0,3.910000026226044,27884,.1,Directed
