Source,sic_supplier,comp_supplier,comp_customer,sic_customer,Target,year3,conm_customer,conm_supplier,salecs_supplier,sales_supplier,sales_customer,Weight,Type
29962,100,LIMONEIRA,CALAVOGROWERS,5140,147708,2019,Calavo Growers Inc,LIMONEIRA CO,6.576000213623047,129.3919992446899,1088.758010864258,.05082231,Directed
30443,100,FRESHDEONTEODUCE,WAART,5331,11259,2019,Wal-Mart Stores Inc,FRESH DEL MONTE PRODUCE INC,449.3900146484375,4493.900024414063,514405,.1,Directed
64275,200,CAAINEFOODS,WAART,5331,11259,2019,WAL-MART STORES INC,CAL-MAINE FOODS INC,0,1080.616027832031,514405,.1,Directed
3801,700,DAVEYTREEEXPERT,PACGSEL,4931,65092,2019,Pacific Gas & Electric Co,DAVEY TREE EXPERT CO,125,1024.790985107422,16760,.12197609,Directed
3107,1000,CLEVELANDCLIFFS,ARCELORMITTAL,3312,65248,2019,Arcelormittal SA,CLEVELAND-CLIFFS INC,1238.211059570313,2332.399963378906,76033,.53087425,Directed
14793,1220,ARCHCOAL,ARCELORMITTAL,3312,65248,2019,ArcelorMittal,ARCH COAL INC,0,2451.786987304688,76033,.1,Directed
170639,1220,FORESIGHTENERGY,SOUTHERN,4911,9850,2019,Southern Company,FORESIGHT ENERGY LP,197.5260009765625,1104.991012573242,23495,.17875801,Directed
174312,1220,RHINORESOURCEPARTNERS,DOMINIONENERGY,4911,4029,2019,Dominion Energy Inc,RHINO RESOURCE PARTNERS LP,19.04500007629395,247.036003112793,13581,.077094026,Directed
184569,1220,WESTMORELANDRESPARTNERS,AMERNELPWR,4911,1440,2019,American Electric Power Co Inc,WESTMORELAND RES PARTNERS LP,36.79999923706055,271.0359992980957,16195.7001953125,.13577531,Directed
32372,1220,ENERGY,DUKEENERGY,4931,4093,2019,Duke Energy Corp,CONSOL ENERGY INC,214.1519927978516,1526.462005615234,24521,.14029303,Directed
