Source,Target,Weight
3702,6495,.18830749
3702,5055,.22329584
8596,5055,.1
3702,2663,.20730536
12349,2663,.10997442
8596,8479,.1
13468,6830,1
2249,9548,.38516676
12750,5060,.1
12750,11259,.1
9821,10793,.1
19965,8675,.23066671
13097,6104,.41248956
13156,5862,.49931505
3107,6537,.1
11993,6531,.09352991
11993,5135,.13178957
3940,3235,.18775579
5686,4371,.11591257
11107,4371,.1
11985,4371,.21000569
14011,4371,.1
3153,1789,.074118577
7743,4856,.23355238
3104,1789,1
8839,5385,.13237926
11440,5135,.11714217
7815,8290,.21002689
1527,9653,.15823601
1732,9653,.1
2073,11038,.15323855
2257,9653,.10849056
2261,1788,1
2422,7017,.14893617
2837,7620,.10028376
3196,1788,.5768581
3637,6403,.064780191
4052,11038,.22832724
4356,1788,.32151875
4472,9653,.1
4614,14228,.19774583
5294,6403,.35012594
5300,6403,.35019457
6870,11038,.12616587
7930,9653,.55987054
8065,9177,.4168804
8521,9653,.3586413
9022,9653,.25778008
9437,7017,1
9505,7017,.14245811
10296,7620,.14782609
10673,9653,.20201173
11048,7017,.37008342
11527,1788,.18918918
12042,4844,.109993
12044,7017,.29089692
12088,9653,.063211843
12577,6403,.10987125
13567,11038,.21000241
13586,2837,.62752479
6047,5134,.27868852
10887,5381,.1
13551,4371,1
2128,11559,.3478367
3213,2593,.089999996
7276,2593,.1328712
1338,2991,.19023988
1338,10482,.129683
1446,4503,.16913119
1544,1609,.037928879
1544,15257,.17537014
1732,10482,.1
2073,7475,.42551789
2261,1609,.27994227
3213,10482,.10169492
3637,4503,.23049423
3826,1609,1
4325,1609,.69230765
4325,5790,1
4357,4503,1
4362,10621,.1
4434,2991,.1
5757,7008,.13675322
6047,4503,.073170736
6826,7476,.39644971
6852,10482,.13085938
6855,7475,.10204081
7159,2991,.4195748
7309,7476,.11162791
7927,2991,.20844328
7934,10482,.1
8011,2991,.19406393
8521,2991,.22543047
8708,9652,.1
8708,10480,.1
8838,2991,.12809823
8838,7475,.10330818
8838,10482,.18780982
9177,1848,.1940966
9406,7475,.25582913
9802,9652,1
9859,4503,.35869566
10143,4503,.21454494
10522,5790,.30379745
10877,7476,.1186499
11082,10482,.6276868
12039,10482,.1099856
12045,4503,.09072236
12088,1609,.083647802
13827,1609,.065743946
13827,15257,.043117747
10437,2189,.10998187
6976,1789,.1
10938,1365,1
1733,2927,.1
9873,10165,.3346073
4844,4242,.14162003
6826,4242,.3125
6938,1048,.28861383
7912,10490,.25000134
8468,7363,.099396884
8516,1048,.11997105
8627,1048,.20545815
2697,8001,.1
1226,1301,.14241607
12045,1301,.037196781
14228,2547,.1
5630,12540,.2512424
1143,9653,.1
2304,2286,.30026931
4367,11038,.11000393
5187,9653,.098256737
9258,9653,.099998198
10306,2437,.10814419
11141,9653,.33002171
11644,9653,.14002083
14908,9653,.11998805
1143,2991,.1
1143,10482,.76325125
1860,4503,.14395688
2270,2991,.10000414
2304,1609,.13765183
4082,1609,.12819159
4367,15257,.11996853
5187,4503,.19541654
5187,7475,.099143215
5187,10482,.11627907
9258,1609,.14000176
9258,7476,.099998198
10306,1609,.28988937
10306,4503,.24521592
10306,7475,.1362979
10306,10482,.16878039
10306,15257,.068736441
11644,10482,.33999479
11925,1609,.52933788
11925,2991,.1
11925,4503,.1
11925,15257,.30216727
14458,10482,.12940799
14908,15257,.11998805
3600,1365,1
9588,9653,.099961333
9588,1609,.1
9588,4503,.1
9589,1609,.13728581
9589,15257,.099973015
13174,1609,.48362982
13174,15257,.3372412
8079,9653,.1701801
3633,1609,.15000051
3633,4503,.11000377
8079,2991,.12596665
9835,4503,.017857142
12256,9545,.1
12256,6036,.1
8095,1755,.059800636
8095,6537,.063459143
8947,6307,.068712816
5814,11259,.1
7567,5073,.25605652
11409,9177,.58426183
11409,1609,.095174268
8451,2189,.15569994
2497,10984,.1
2497,2146,.096468724
2497,4961,.17000723
6209,1788,.1
2340,1848,.15484567
