Source,Target,Weight
5560,1789,.28111538
1856,5743,.25778461
3104,1789,1
2040,9653,.088068351
1223,5073,1
1732,9653,.1
2419,7620,1
6365,9653,1
10887,5381,1
2437,4503,1
4488,5148,1
6819,10482,.12842222
7792,10621,.1
7912,10482,.1
10938,1365,1
8387,11506,.069661297
8955,1678,1
1661,5790,.13570616
5187,4503,.43892819
3600,1365,1
8429,10503,1
3633,10482,.14000028
8095,1755,1
7359,8446,1
1232,5790,1
5218,3980,.0017672683
6331,9653,.033773236
6331,4503,.038555589
6331,5382,.050210062
5196,6502,.098379202
8997,6502,1
6425,7154,.091993891
9303,6307,.17043974
5213,7154,1
3847,11263,.079996601
1032,5055,1
3245,6375,1
6573,5073,.1
6573,6307,.1
1643,5055,.024070399
5146,2663,1
5146,5071,1
9140,2272,.18852089
2196,6307,.25477371
3622,6307,.21319678
4635,6307,.14705792
3176,3022,1
3176,4839,1
3176,5073,1
1120,6307,.11551359
1235,8446,.12609537
10021,6307,.22530651
10021,8446,.1656794
8857,6307,1
2068,3022,.079080395
2068,5073,.12781979
7087,4839,.19013686
7087,5073,.15624812
3211,6307,1
5005,3022,.50175893
5005,5073,.48697966
3125,6307,.10000034
3125,8446,.095059469
4993,6307,.21000774
4993,8446,.34001061
6468,6307,.52687967
6468,8446,.074908569
6880,8446,.18576741
7400,6307,1
7400,8446,1
8219,6307,.15728699
8219,8446,.34952667
8551,8446,.11867003
9955,6307,.13145262
10025,6307,1
10593,8446,.1
2091,8446,1
7916,6307,.24998836
8255,6307,1
8255,8446,1
8576,6307,.12027051
8576,8446,.1102431
9382,6307,.37000105
9382,8446,.12999897
2584,6307,1
2584,8446,1
5596,8446,1
6376,6307,.3762548
5516,8446,1
7644,8446,1
6184,5073,.39999866
7889,3980,.014872037
3120,6307,.09694507
4447,6307,.25592652
6821,5134,.048651841
7000,4672,.11813121
3378,11259,1
8386,9761,1
7201,2917,1
10518,4768,1
2174,8446,1
2502,8446,1
4771,8446,1
6614,6307,1
6614,8446,1
8101,6307,.18000427
2080,8446,.1399987
4055,3022,1
4055,4839,1
4055,5073,1
5699,3022,.078187451
5699,4839,.18545231
5699,5073,.15454687
1496,4839,1
6226,7692,.1
6226,5073,.1
3421,5073,1
10338,11636,1
1589,6307,1
3522,10482,.18163103
1403,5349,1
4455,5073,.19206394
10039,5073,.012904765
5608,2285,.12999821
10848,7171,1
1514,13204,1
3888,6307,.72036344
3121,7154,1
5354,5073,.0842053
8634,5134,1
8345,5073,.10999242
2643,3022,1
3502,5589,.17000033
3502,5073,.11000022
10873,5073,.16155806
1761,6307,.4499996
7502,6307,.15247834
3200,2285,.016178841
4819,2285,1
3200,6774,.0097739045
10967,10873,.12838462
3523,4839,1
3523,5073,1
11376,2111,1
11376,2111,.14000306
11225,5109,1
8442,8331,1
5464,2189,.13169795
4000,5073,.061186731
11468,10031,1
8769,5169,1
11468,5245,1
3765,7244,1
11468,7155,1
11468,8972,1
10535,6307,1
9629,4218,.19996867
5367,13961,.1
11516,6307,.1
11516,8446,.1
11025,6307,.34758252
1312,4839,1
11600,5073,1
4217,10581,1
6278,5073,1
6531,5073,.048881039
6537,5073,1
7175,5073,.39999801
9064,5073,.10721818
9188,5073,.035028465
6945,6307,1
2471,4839,.13999768
2471,5073,.23000115
8722,11328,1
2451,3022,1
2451,4839,1
2451,5073,1
5532,3022,.052515429
5532,4839,.1640203
5532,5073,.054564308
10132,6502,1
10930,8889,1
8907,5245,1
8907,5192,1
8051,11636,1
4178,6307,.34175152
11549,5073,1
11255,11465,1
6391,5073,1
11255,5073,1
11462,5073,1
11255,5256,1
11138,6307,.28549072
9121,9761,.079227939
10810,6307,.0053302967
7703,8446,1
10114,5148,.11636047
4305,4768,.14000069
2098,9653,1
2098,4503,1
2457,3022,.66999614
2457,4839,.1
2457,5073,.1
4250,5073,1
4607,4839,1
4607,5073,1
7324,3022,1
7324,4839,1
7324,5073,1
9984,2817,.047478717
11661,7585,1
2952,5073,.36408979
4967,4839,1
4967,5073,1
5758,4839,.79994702
5758,5073,.11999205
9162,4839,1
9162,5073,1
9984,4839,.01843087
9984,5073,.091650881
11682,2285,.031242264
11682,7155,.1
6589,6066,1
11661,5047,1
8636,8889,1
2521,9653,.0892919
9474,2062,.17726153
2049,5073,.11500008
6701,5073,.3275882
8358,5073,.054999862
1747,5361,1
8358,2285,.021999944
1747,6774,1
9474,6307,.072659552
1747,5047,1
11098,5047,1
10048,4839,1
7624,6307,.1
7624,8446,.1
9234,6307,.18465811
9335,2898,.077527359
9335,7155,.095639944
9173,6066,1
2802,5816,1
4437,4839,1
9556,4839,1
9556,5073,1
10219,2157,1
2241,5046,1
5181,4839,.088654339
5181,5073,.073441468
7580,5073,1
11081,5073,1
6503,4839,1
6503,6066,1
1103,3022,.4220925
1103,5073,.1077683
8927,7155,1
1704,6066,1
8927,6066,1
11349,5250,1
10777,2817,.15000001
3885,5046,1
11302,6066,1
8463,5654,1
9968,6307,.18422987
7822,8972,1
9813,1365,1
3910,6066,1
4585,5073,1
8423,5047,1
7490,6053,.1
3866,2285,1
3866,5047,1
4781,5047,1
1701,7648,.38854107
4012,3955,.0306364
6840,4839,.094606191
4012,7648,.026872838
6840,7648,.15295997
3781,5047,1
1126,7648,1
8260,10538,1
3450,6307,1
7178,2817,1
10334,11465,.017998025
10386,11465,.080749251
3710,11535,1
10334,5047,.020253874
6364,5229,1
1099,6307,1
1099,6066,1
4285,6238,1
4199,4839,.14211948
4464,5073,1
11287,3022,1
11580,5047,1
9771,5073,.47635981
8743,6307,1
11465,6307,.52445412
8196,6307,1
8196,8446,1
9410,6307,1
1098,4839,.16303466
1098,5073,.1
11200,8643,1
8844,9434,1
1013,6066,1
9212,10857,1
4575,4487,1
1281,3022,.028334046
1281,4839,.047656946
1281,5073,.061192572
1281,8253,.024344513
7290,3022,.12477937
7290,4839,.27352959
4279,10301,1
6449,2114,.090112835
6449,8602,.16971728
4279,5047,1
11161,8889,.16414644
4319,8446,1
3098,10391,.12503141
2577,6066,.11008372
5831,11636,1
1137,6628,1
7579,3955,.13000806
9999,3955,1
6139,7244,.074058235
7330,6008,1
7330,7579,1
9598,8972,1
1512,10391,.1061324
1512,6066,.11497469
7291,3022,1
4639,5169,1
3300,9947,1
5448,9947,1
8727,9947,1
1703,10097,.12729549
3300,7244,1
3300,10097,1
3300,11636,1
4962,3022,.11829676
9922,5073,.15306188
4467,7155,1
4639,6774,1
8727,8972,1
5652,7228,1
5448,6066,1
4639,5047,1
6157,7435,1
11310,10097,1
7619,3022,.12570168
7619,4839,.24312772
7619,8253,.09186887
9462,5073,.35028893
3601,6066,1
11310,6066,1
4838,4839,.42263982
1786,4839,.29056859
1786,5073,.18116911
2157,4839,.11484394
2343,4839,1
2372,3022,.16109459
2372,4839,.24608292
2372,5073,.29478455
3685,4839,1
3685,5073,1
3734,4839,.22813492
3734,5073,.16878207
4168,4839,.12060824
4168,5073,.10712291
4920,3022,.1
4920,4839,.1901319
4920,5073,.043796651
6080,4839,.12628204
6482,3022,1
7873,4839,.3219797
7873,5073,.20698696
7929,5073,.16112725
9300,3022,.03994159
9300,4839,.23999313
9300,5073,.71989346
9656,3022,.13576365
9656,4839,.23121464
9656,5073,.12893382
9742,4839,1
9742,5073,1
9886,4839,1
10004,3022,.1
10004,4839,.1
10004,5073,.53000033
10301,4839,.052714348
10301,5073,.053278666
10732,4839,1
10732,5073,1
11219,5073,.63735402
8046,7155,.14203303
4475,10983,.13288443
10301,10983,.038264144
4204,5125,.18600164
11561,5125,1
6072,8972,.013456839
11222,2285,1
6926,4475,.20969781
