Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles
6403,,,6,2,8,6,2,8,11,0.174019,0.188302,25916.418323,0.035714,1
2410,,,19,0,19,19,0,19,10,0.198638,0.217919,84318.137628,0.005848,1
8065,,,0,1,1,0,1,1,13,0.14796,0.155806,0,0,0
10156,,,7,0,7,7,0,7,12,0.17364,0.187548,11530.112518,0,0
20653,,,0,2,2,0,2,2,12,0.15779,0.167057,649.194425,0,0
28564,,,0,2,2,0,2,2,11,0.166265,0.176648,2228.065887,0,0
65827,,,0,1,1,0,1,1,13,0.14796,0.155806,0,0,0
121934,,,0,2,2,0,2,2,12,0.155096,0.165212,2943.194375,0,0
2991,,,10,0,10,10,0,10,12,0.17221,0.187256,19395.930946,0,0
142540,,,0,2,2,0,2,2,2,0.75,0.833333,2,0,0
133870,,,2,0,2,2,0,2,2,0.75,0.833333,2,0,0
148281,,,0,1,1,0,1,1,13,0.146921,0.155196,0,0,0
148210,,,2,0,2,2,0,2,13,0.131936,0.139331,2070,0,0
163921,,,0,1,1,0,1,1,13,0.146921,0.155196,0,0,0
146137,,,0,1,1,0,1,1,1,1,1,0,0,0
12383,,,1,0,1,1,0,1,1,1,1,0,0,0
30865,,,4,0,4,4,0,4,12,0.15075,0.161697,4485.877768,0,0
120093,,,0,2,2,0,2,2,14,0.142719,0.149428,1034.5,0,0
1279,,,2,0,2,2,0,2,15,0.124917,0.129566,0.5,0,0
154357,,,0,2,2,0,2,2,16,0.096604,0.100913,2070,0,0
145270,,,1,0,1,1,0,1,17,0.088098,0.091083,0,0,0
164665,,,0,2,2,0,2,2,14,0.142719,0.149428,1034.5,0,0
175006,,,0,1,1,0,1,1,2,0.6,0.666667,0,0,0
8539,,,3,0,3,3,0,3,1,1,1,3,0,0
18705,,,2,0,2,2,0,2,13,0.131034,0.137372,2070,0,0
4242,,,5,1,6,5,1,6,12,0.157586,0.16999,12100.835551,0,0
64535,,,0,2,2,0,2,2,13,0.129851,0.134769,2070,0,0
25627,,,2,1,3,2,1,3,12,0.149197,0.156535,6206,0,0
176862,,,0,1,1,0,1,1,14,0.11586,0.120068,0,0,0
19433,,,0,1,1,0,1,1,16,0.096595,0.100591,0,0,0
8151,,,6,0,6,6,0,6,15,0.106918,0.113356,18589,0,0
6310,,,3,0,3,3,0,3,13,0.135643,0.145055,23258.187287,0,0
9904,,,1,0,1,1,0,1,14,0.114934,0.118257,0,0,0
162459,,,0,2,2,0,2,2,16,0.096604,0.100913,2070,0,0
178835,,,0,1,1,0,1,1,16,0.096595,0.100591,0,0,0
2128,,,0,1,1,0,1,1,1,1,1,0,0,0
7733,,,1,0,1,1,0,1,1,1,1,0,0,0
107755,,,0,1,1,0,1,1,1,1,1,0,0,0
7590,,,1,0,1,1,0,1,1,1,1,0,0,0
165699,,,0,1,1,0,1,1,17,0.093183,0.095502,0,0,0
1224,,,2,0,2,2,0,2,16,0.102754,0.106021,2070,0,0
3594,,,0,1,1,0,1,1,12,0.142259,0.15031,0,0,0
4093,,,12,0,12,12,0,12,11,0.165839,0.180608,48467.808955,0,0
8512,,,0,2,2,0,2,2,12,0.142317,0.150873,6204,0,0
8272,,,3,0,3,3,0,3,13,0.124624,0.130605,4139,0,0
11558,,,0,1,1,0,1,1,14,0.11082,0.114758,0,0,0
10860,,,3,0,3,3,0,3,14,0.131576,0.138111,9300.5,0,0
27786,,,1,1,2,1,1,2,12,0.142582,0.151556,4542.187375,0,0
62756,,,0,1,1,0,1,1,12,0.142259,0.15031,0,0,0
140800,,,0,1,1,0,1,1,12,0.142259,0.15031,0,0,0
7977,,,1,0,1,1,0,1,17,0.088098,0.091083,0,0,0
1797,,,0,1,1,0,1,1,15,0.103882,0.107508,0,0,0
63605,,,2,0,2,2,0,2,14,0.115919,0.12121,2070,0,0
62446,,,0,2,2,0,2,2,12,0.179556,0.194707,344.678134,0,0
15521,,,9,0,9,9,0,9,12,0.20029,0.222621,8757.735883,0,0
116029,,,3,0,3,3,0,3,13,0.131576,0.138743,6206,0,0
8627,,,0,1,1,0,1,1,14,0.116283,0.120906,0,0,0
140757,,,0,1,1,0,1,1,1,1,1,0,0,0
30023,,,1,0,1,1,0,1,1,1,1,0,0,0
20909,,,1,5,6,1,5,6,12,0.153783,0.166071,4496.263241,0,0
64063,,,1,1,2,1,1,2,11,0.176586,0.188024,1683.730435,0,0
1121,,,1,0,1,1,0,1,13,0.135359,0.143394,0,0,0
6307,,,22,0,22,22,0,22,11,0.208981,0.236601,51473.820987,0,0
14815,,,0,1,1,0,1,1,13,0.158868,0.172262,0,0,0
1240,,,11,0,11,11,0,11,12,0.188856,0.2137,14791.518929,0,0
140756,,,1,0,1,1,0,1,3,0.5,0.611111,0,0,0
1308,,,0,2,2,0,2,2,13,0.131093,0.138846,4138,0,0
2270,,,0,2,2,0,2,2,11,0.180448,0.194291,12198.192614,0,0
9258,,,0,2,2,0,2,2,13,0.138909,0.147606,222.104429,0,0
10306,,,0,1,1,0,1,1,1,1,1,0,0,0
16478,,,1,0,1,1,0,1,1,1,1,0,0,0
164075,,,0,4,4,0,4,4,13,0.131384,0.140028,6442.564959,0,0
28256,,,2,0,2,2,0,2,14,0.116146,0.121823,2070,0,0
